Company;Criteria 1;Score 1;Count 1;Criteria 2;Score 2;Count 2;Rank
ExxonMobil;Insurance;9;101;Insurance;9;101;16
ExxonMobil;Insurance;9;101;Safety;22;371;16
ExxonMobil;Insurance;9;101;Balance;6;340;16
ExxonMobil;Insurance;9;101;Retirement;43;43;16
ExxonMobil;Insurance;9;101;Racism;0;53;16
ExxonMobil;Insurance;9;101;Sexism;41;21;16
ExxonMobil;Insurance;9;101;Ageism;41;22;16
ExxonMobil;Insurance;9;101;Benefits;15;338;16
ExxonMobil;Insurance;9;101;Resources;14;414;16
ExxonMobil;Insurance;9;101;Opportunities;14;357;16
ExxonMobil;Insurance;9;101;Privacy;5;218;16
ExxonMobil;Insurance;9;101;Culture;0;307;16
ExxonMobil;Safety;22;371;Insurance;9;101;16
ExxonMobil;Safety;22;371;Safety;22;371;16
ExxonMobil;Safety;22;371;Balance;6;340;16
ExxonMobil;Safety;22;371;Retirement;43;43;16
ExxonMobil;Safety;22;371;Racism;0;53;16
ExxonMobil;Safety;22;371;Sexism;41;21;16
ExxonMobil;Safety;22;371;Ageism;41;22;16
ExxonMobil;Safety;22;371;Benefits;15;338;16
ExxonMobil;Safety;22;371;Resources;14;414;16
ExxonMobil;Safety;22;371;Opportunities;14;357;16
ExxonMobil;Safety;22;371;Privacy;5;218;16
ExxonMobil;Safety;22;371;Culture;0;307;16
ExxonMobil;Balance;6;340;Insurance;9;101;16
ExxonMobil;Balance;6;340;Safety;22;371;16
ExxonMobil;Balance;6;340;Balance;6;340;16
ExxonMobil;Balance;6;340;Retirement;43;43;16
ExxonMobil;Balance;6;340;Racism;0;53;16
ExxonMobil;Balance;6;340;Sexism;41;21;16
ExxonMobil;Balance;6;340;Ageism;41;22;16
ExxonMobil;Balance;6;340;Benefits;15;338;16
ExxonMobil;Balance;6;340;Resources;14;414;16
ExxonMobil;Balance;6;340;Opportunities;14;357;16
ExxonMobil;Balance;6;340;Privacy;5;218;16
ExxonMobil;Balance;6;340;Culture;0;307;16
ExxonMobil;Retirement;43;43;Insurance;9;101;16
ExxonMobil;Retirement;43;43;Safety;22;371;16
ExxonMobil;Retirement;43;43;Balance;6;340;16
ExxonMobil;Retirement;43;43;Retirement;43;43;16
ExxonMobil;Retirement;43;43;Racism;0;53;16
ExxonMobil;Retirement;43;43;Sexism;41;21;16
ExxonMobil;Retirement;43;43;Ageism;41;22;16
ExxonMobil;Retirement;43;43;Benefits;15;338;16
ExxonMobil;Retirement;43;43;Resources;14;414;16
ExxonMobil;Retirement;43;43;Opportunities;14;357;16
ExxonMobil;Retirement;43;43;Privacy;5;218;16
ExxonMobil;Retirement;43;43;Culture;0;307;16
ExxonMobil;Racism;0;53;Insurance;9;101;16
ExxonMobil;Racism;0;53;Safety;22;371;16
ExxonMobil;Racism;0;53;Balance;6;340;16
ExxonMobil;Racism;0;53;Retirement;43;43;16
ExxonMobil;Racism;0;53;Racism;0;53;16
ExxonMobil;Racism;0;53;Sexism;41;21;16
ExxonMobil;Racism;0;53;Ageism;41;22;16
ExxonMobil;Racism;0;53;Benefits;15;338;16
ExxonMobil;Racism;0;53;Resources;14;414;16
ExxonMobil;Racism;0;53;Opportunities;14;357;16
ExxonMobil;Racism;0;53;Privacy;5;218;16
ExxonMobil;Racism;0;53;Culture;0;307;16
ExxonMobil;Sexism;41;21;Insurance;9;101;16
ExxonMobil;Sexism;41;21;Safety;22;371;16
ExxonMobil;Sexism;41;21;Balance;6;340;16
ExxonMobil;Sexism;41;21;Retirement;43;43;16
ExxonMobil;Sexism;41;21;Racism;0;53;16
ExxonMobil;Sexism;41;21;Sexism;41;21;16
ExxonMobil;Sexism;41;21;Ageism;41;22;16
ExxonMobil;Sexism;41;21;Benefits;15;338;16
ExxonMobil;Sexism;41;21;Resources;14;414;16
ExxonMobil;Sexism;41;21;Opportunities;14;357;16
ExxonMobil;Sexism;41;21;Privacy;5;218;16
ExxonMobil;Sexism;41;21;Culture;0;307;16
ExxonMobil;Ageism;41;22;Insurance;9;101;16
ExxonMobil;Ageism;41;22;Safety;22;371;16
ExxonMobil;Ageism;41;22;Balance;6;340;16
ExxonMobil;Ageism;41;22;Retirement;43;43;16
ExxonMobil;Ageism;41;22;Racism;0;53;16
ExxonMobil;Ageism;41;22;Sexism;41;21;16
ExxonMobil;Ageism;41;22;Ageism;41;22;16
ExxonMobil;Ageism;41;22;Benefits;15;338;16
ExxonMobil;Ageism;41;22;Resources;14;414;16
ExxonMobil;Ageism;41;22;Opportunities;14;357;16
ExxonMobil;Ageism;41;22;Privacy;5;218;16
ExxonMobil;Ageism;41;22;Culture;0;307;16
ExxonMobil;Benefits;15;338;Insurance;9;101;16
ExxonMobil;Benefits;15;338;Safety;22;371;16
ExxonMobil;Benefits;15;338;Balance;6;340;16
ExxonMobil;Benefits;15;338;Retirement;43;43;16
ExxonMobil;Benefits;15;338;Racism;0;53;16
ExxonMobil;Benefits;15;338;Sexism;41;21;16
ExxonMobil;Benefits;15;338;Ageism;41;22;16
ExxonMobil;Benefits;15;338;Benefits;15;338;16
ExxonMobil;Benefits;15;338;Resources;14;414;16
ExxonMobil;Benefits;15;338;Opportunities;14;357;16
ExxonMobil;Benefits;15;338;Privacy;5;218;16
ExxonMobil;Benefits;15;338;Culture;0;307;16
ExxonMobil;Resources;14;414;Insurance;9;101;16
ExxonMobil;Resources;14;414;Safety;22;371;16
ExxonMobil;Resources;14;414;Balance;6;340;16
ExxonMobil;Resources;14;414;Retirement;43;43;16
ExxonMobil;Resources;14;414;Racism;0;53;16
ExxonMobil;Resources;14;414;Sexism;41;21;16
ExxonMobil;Resources;14;414;Ageism;41;22;16
ExxonMobil;Resources;14;414;Benefits;15;338;16
ExxonMobil;Resources;14;414;Resources;14;414;16
ExxonMobil;Resources;14;414;Opportunities;14;357;16
ExxonMobil;Resources;14;414;Privacy;5;218;16
ExxonMobil;Resources;14;414;Culture;0;307;16
ExxonMobil;Opportunities;14;357;Insurance;9;101;16
ExxonMobil;Opportunities;14;357;Safety;22;371;16
ExxonMobil;Opportunities;14;357;Balance;6;340;16
ExxonMobil;Opportunities;14;357;Retirement;43;43;16
ExxonMobil;Opportunities;14;357;Racism;0;53;16
ExxonMobil;Opportunities;14;357;Sexism;41;21;16
ExxonMobil;Opportunities;14;357;Ageism;41;22;16
ExxonMobil;Opportunities;14;357;Benefits;15;338;16
ExxonMobil;Opportunities;14;357;Resources;14;414;16
ExxonMobil;Opportunities;14;357;Opportunities;14;357;16
ExxonMobil;Opportunities;14;357;Privacy;5;218;16
ExxonMobil;Opportunities;14;357;Culture;0;307;16
ExxonMobil;Privacy;5;218;Insurance;9;101;16
ExxonMobil;Privacy;5;218;Safety;22;371;16
ExxonMobil;Privacy;5;218;Balance;6;340;16
ExxonMobil;Privacy;5;218;Retirement;43;43;16
ExxonMobil;Privacy;5;218;Racism;0;53;16
ExxonMobil;Privacy;5;218;Sexism;41;21;16
ExxonMobil;Privacy;5;218;Ageism;41;22;16
ExxonMobil;Privacy;5;218;Benefits;15;338;16
ExxonMobil;Privacy;5;218;Resources;14;414;16
ExxonMobil;Privacy;5;218;Opportunities;14;357;16
ExxonMobil;Privacy;5;218;Privacy;5;218;16
ExxonMobil;Privacy;5;218;Culture;0;307;16
ExxonMobil;Culture;0;307;Insurance;9;101;16
ExxonMobil;Culture;0;307;Safety;22;371;16
ExxonMobil;Culture;0;307;Balance;6;340;16
ExxonMobil;Culture;0;307;Retirement;43;43;16
ExxonMobil;Culture;0;307;Racism;0;53;16
ExxonMobil;Culture;0;307;Sexism;41;21;16
ExxonMobil;Culture;0;307;Ageism;41;22;16
ExxonMobil;Culture;0;307;Benefits;15;338;16
ExxonMobil;Culture;0;307;Resources;14;414;16
ExxonMobil;Culture;0;307;Opportunities;14;357;16
ExxonMobil;Culture;0;307;Privacy;5;218;16
ExxonMobil;Culture;0;307;Culture;0;307;16
Phillips66;Insurance;62;48;Insurance;62;48;9
Phillips66;Insurance;62;48;Safety;29;197;9
Phillips66;Insurance;62;48;Balance;29;172;9
Phillips66;Insurance;62;48;Retirement;50;25;9
Phillips66;Insurance;62;48;Racism;64;26;9
Phillips66;Insurance;62;48;Sexism;99;7;9
Phillips66;Insurance;62;48;Ageism;0;9;9
Phillips66;Insurance;62;48;Benefits;33;182;9
Phillips66;Insurance;62;48;Resources;39;208;9
Phillips66;Insurance;62;48;Opportunities;25;163;9
Phillips66;Insurance;62;48;Privacy;29;100;9
Phillips66;Insurance;62;48;Culture;72;145;9
Phillips66;Safety;29;197;Insurance;62;48;9
Phillips66;Safety;29;197;Safety;29;197;9
Phillips66;Safety;29;197;Balance;29;172;9
Phillips66;Safety;29;197;Retirement;50;25;9
Phillips66;Safety;29;197;Racism;64;26;9
Phillips66;Safety;29;197;Sexism;99;7;9
Phillips66;Safety;29;197;Ageism;0;9;9
Phillips66;Safety;29;197;Benefits;33;182;9
Phillips66;Safety;29;197;Resources;39;208;9
Phillips66;Safety;29;197;Opportunities;25;163;9
Phillips66;Safety;29;197;Privacy;29;100;9
Phillips66;Safety;29;197;Culture;72;145;9
Phillips66;Balance;29;172;Insurance;62;48;9
Phillips66;Balance;29;172;Safety;29;197;9
Phillips66;Balance;29;172;Balance;29;172;9
Phillips66;Balance;29;172;Retirement;50;25;9
