Company;Criteria 1;Score 1;Count 1;Criteria 2;Score 2;Count 2;Rank
ExxonMobil;Insurance;-98;53;Insurance;-98;53;12
ExxonMobil;Insurance;-98;53;Safety;-83;189;12
ExxonMobil;Insurance;-98;53;Balance;-80;171;12
ExxonMobil;Insurance;-98;53;Retirement;-80;19;12
ExxonMobil;Insurance;-98;53;Racism;-88;36;12
ExxonMobil;Insurance;-98;53;Sexism;-67;9;12
ExxonMobil;Insurance;-98;53;Ageism;-54;10;12
ExxonMobil;Insurance;-98;53;Benefits;-87;166;12
ExxonMobil;Insurance;-98;53;Resources;-93;212;12
ExxonMobil;Insurance;-98;53;Opportunities;-88;180;12
ExxonMobil;Insurance;-98;53;Privacy;-87;113;12
ExxonMobil;Insurance;-98;53;Culture;-94;160;12
ExxonMobil;Safety;-83;189;Insurance;-98;53;12
ExxonMobil;Safety;-83;189;Safety;-83;189;12
ExxonMobil;Safety;-83;189;Balance;-80;171;12
ExxonMobil;Safety;-83;189;Retirement;-80;19;12
ExxonMobil;Safety;-83;189;Racism;-88;36;12
ExxonMobil;Safety;-83;189;Sexism;-67;9;12
ExxonMobil;Safety;-83;189;Ageism;-54;10;12
ExxonMobil;Safety;-83;189;Benefits;-87;166;12
ExxonMobil;Safety;-83;189;Resources;-93;212;12
ExxonMobil;Safety;-83;189;Opportunities;-88;180;12
ExxonMobil;Safety;-83;189;Privacy;-87;113;12
ExxonMobil;Safety;-83;189;Culture;-94;160;12
ExxonMobil;Balance;-80;171;Insurance;-98;53;12
ExxonMobil;Balance;-80;171;Safety;-83;189;12
ExxonMobil;Balance;-80;171;Balance;-80;171;12
ExxonMobil;Balance;-80;171;Retirement;-80;19;12
ExxonMobil;Balance;-80;171;Racism;-88;36;12
ExxonMobil;Balance;-80;171;Sexism;-67;9;12
ExxonMobil;Balance;-80;171;Ageism;-54;10;12
ExxonMobil;Balance;-80;171;Benefits;-87;166;12
ExxonMobil;Balance;-80;171;Resources;-93;212;12
ExxonMobil;Balance;-80;171;Opportunities;-88;180;12
ExxonMobil;Balance;-80;171;Privacy;-87;113;12
ExxonMobil;Balance;-80;171;Culture;-94;160;12
ExxonMobil;Retirement;-80;19;Insurance;-98;53;12
ExxonMobil;Retirement;-80;19;Safety;-83;189;12
ExxonMobil;Retirement;-80;19;Balance;-80;171;12
ExxonMobil;Retirement;-80;19;Retirement;-80;19;12
ExxonMobil;Retirement;-80;19;Racism;-88;36;12
ExxonMobil;Retirement;-80;19;Sexism;-67;9;12
ExxonMobil;Retirement;-80;19;Ageism;-54;10;12
ExxonMobil;Retirement;-80;19;Benefits;-87;166;12
ExxonMobil;Retirement;-80;19;Resources;-93;212;12
ExxonMobil;Retirement;-80;19;Opportunities;-88;180;12
ExxonMobil;Retirement;-80;19;Privacy;-87;113;12
ExxonMobil;Retirement;-80;19;Culture;-94;160;12
ExxonMobil;Racism;-88;36;Insurance;-98;53;12
ExxonMobil;Racism;-88;36;Safety;-83;189;12
ExxonMobil;Racism;-88;36;Balance;-80;171;12
ExxonMobil;Racism;-88;36;Retirement;-80;19;12
ExxonMobil;Racism;-88;36;Racism;-88;36;12
ExxonMobil;Racism;-88;36;Sexism;-67;9;12
ExxonMobil;Racism;-88;36;Ageism;-54;10;12
ExxonMobil;Racism;-88;36;Benefits;-87;166;12
ExxonMobil;Racism;-88;36;Resources;-93;212;12
ExxonMobil;Racism;-88;36;Opportunities;-88;180;12
ExxonMobil;Racism;-88;36;Privacy;-87;113;12
ExxonMobil;Racism;-88;36;Culture;-94;160;12
ExxonMobil;Sexism;-67;9;Insurance;-98;53;12
ExxonMobil;Sexism;-67;9;Safety;-83;189;12
ExxonMobil;Sexism;-67;9;Balance;-80;171;12
ExxonMobil;Sexism;-67;9;Retirement;-80;19;12
ExxonMobil;Sexism;-67;9;Racism;-88;36;12
ExxonMobil;Sexism;-67;9;Sexism;-67;9;12
ExxonMobil;Sexism;-67;9;Ageism;-54;10;12
ExxonMobil;Sexism;-67;9;Benefits;-87;166;12
ExxonMobil;Sexism;-67;9;Resources;-93;212;12
ExxonMobil;Sexism;-67;9;Opportunities;-88;180;12
