date;employee_title;employee_status;review_title;pros;cons
2021-10-22;Right of Way Agent;Current Employee, more than 1 year;Proffessional;"Great Company to work for.
";"Not su much time off.
"
2021-08-06;Customer Care Specialist;Current Employee, more than 1 year;Not the worst, not the best.;"Its a company that will take care of you, but you have to do your job near perfect. Awesome coworkers Different Schedule Choices Decent Benefits Good incentives Bonuses for good performance.
";"Mandatory Overtime. You may have to stay over your shift because of a little rain. Storms can mean 12 hour shifts for a week to a few weeks in a row with no time off. Schedule Bids. I put above there are schedule choices, but depending on your performance you may not get a schedule that works for you when there are new shift bids. Different departments have conflicting information, but it's your fault if you get something wrong because of it. Sales shouldn't be required. Period, but if you don't make them, you get in trouble. Training is a mess right now since they implemented new systems. Some things were over trained, others not nearly enough. Depending on your Supervisor and team will determine if you do well. They care way too much about call times, yet expect you to throw in sales and other information, plus the new system that takes way too long to navigate.
"
2021-10-24;Anonymous;Current Employee;good to work at duke;"good work and life balance
";"too much procee and procedure
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-22;Corporate Communications;Current Employee;Great place to work;"Great people, good overall work environment, lots of opportunity.
";"Must be comfortable with change.
"
2021-08-30;Customer Service Representative;Former Employee, less than 1 year;Not worth it;"The Benefits package is decent
";"Very negative environment. The first week, I was told more ways of how I could get in trouble and disciplined than actual training. Call center environment that is stuck in time from about 20 years ago. Extremely micromanaged environment. In the interview, they ask if you have a cell phone. What they don't tell you is that they are routing all the calls through your cell phone while you are working from home and have your cell connected on a call the entire day. Then they tell you that you can't use your phone at all or they will know it and you will be disciplined for it. They had a trainer and 3 supervisors watching 15 people do computer training modules on camera while people are talking. They dont trust people enough to do a computer training module and test without watching you on camera. They care more about tracking you than you actually retaining the training content. The training is rushed and large amounts of documents are referenced that you are expected to know, but not given time to read them. You are put on the phones after one week of training and then ""coached"" on the things you are doing wrong.
"
2021-10-18;Senior Customer Service Representative;Current Employee;All about employees;"Great company to work for
";"Yearly raise since pandemic fast food making around the same thing
"
2021-10-18;Accounts Specialist;Current Employee;Ok;"The amount of vacation is a pro
";"There are not really any cons
"
2021-10-16;Lead Work Management Specialist;Current Employee, more than 10 years;Great company to work for;"Competitive pay, good benefits, reliable emplyment
";"Large company, harder to make the impact you may desire
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-16;Director;Former Employee, more than 5 years;Mixed culture with a lot of office politics;"Large enough that you could carve out to build a motivated team in isolation from the company's harmed ego and its faded glory of being the largest utility in NA.
";"Slow to get change happening, everybody is waiting for something and no one wants to stick their necks out because they might get on the wrong side and then the office politics will get them.
"
2021-09-25;Lineman Apprentice;Current Employee, more than 1 year;Great company, benefits, and pay;"This job has changed my life for the better. This job is rewarding and safety is truly a top priority for this company. Be prepared to work long hours and more overtime than you could ever want, but getting that paycheck at the end of the pay period reminds you why it’s worth it
";"Unorganized apprenticeship, understaffed, difficult work life balance
"
2021-10-15;Electrical Engineer;Current Employee, more than 5 years;fvv;"money is very good and people are nice
";"there are really no cons
Be the first to find this review helpful
Helpful
Share
Repor"
