date;employee_title;employee_status;review_title;pros;cons
2020-12-13;Electrical Engineer;Current Employee, less than 1 year;Electral;"Nice work life balance 
And good perks
";"No work from home option
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-07;Senior Financial Analyst;Current Employee;Great Company;"Solid salary and stable company
";"work life balance tends to be overlooked
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-23;Engineer;Current Employee, more than 1 year;Amazing Company, Even Better People;"Fantastic workplace atmosphere, everyone is very kind and willing to help.
";"Do not account for cost of living across locations
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-15;Anonymous;Current Employee, more than 5 years;Good Benefits, Demanding Work Load;"The company is legitimately working on building an inclusive culture, and provides growth opportunities to those interested. The pay is very competitive and the benefits are excellent. Bonus payout is substantial.
";"It can be very difficult to take time away from the office without interruptions.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-16;Sales Associate/Cashier;Former Employee, less than 1 year;careful picking cashier position.;"weekly pay, holiday pay right away.
";"one man show! you cook chicken, pizza, and wings, run the only one cash register, and all the store cleaning.
Advice to Management
appreciate your faithful employees so you dont lose them to better management elsewhere.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-14;Corrosion Technician;Current Employee, more than 3 years;Good company;"Great benefits, paid for annual certification training, pension, relaxed atmosphere
";"Pay a little low compared to other energy companies. Have to deal with Houston ppl making decisions for you 800 miles away.
Advice to Management
Can’t personally speak for all management, but more professionalism. More respect and less verbal bullying. Won’t say any names but this is main reason I quit.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-13;IT Intern;Former Employee;Rewarding Internship;"Money, people, experience, technical work, food
";"Could baby you at times
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-11;Engineer;Current Employee;Great Company with even better people;"Great company, great people. They take care of their people well.
";"Sometimes long hours with unpredictable schedules.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-11;Process Engineer;Current Employee;Strong company, but slow to adapt to modern competition;"Good benefits, good leadership, engaging work
";"Slow to adapt to modern work practices, keeping things 'the way they have always been', very low pay raises for promotions
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-09;Process Operator;Former Employee;Phillips 66 Refinery;"Good pay with great benefits.
";"Equipment needs to be updated.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-06;Data Analytics;Current Employee;P66;"Great company. Good Benefits. Good Work Life.
";"No hybrid schedule. No WFH.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-19;Safety Manager;Former Employee, more than 8 years;No work life balance;"The pay is decent with yearly bonuses.
";"No work life balance and people are t valued
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-01;IT Intern;Former Employee, less than 1 year;Great Company;"Helped you learn with mentors for summer project.
";"Not many honestly, work got a little boring at times due to the same project.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-30;IT Analyst;Current Employee, less than 1 year;P66 IT;"Everyone is very friendly and accommodating. P66 also has great benefits and pretty good pay!
";"CEO is very old school
Advice to Management
Listen to the people more
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-14;Training Specialist;Former Employee, more than 3 years;Opportunity;"Great people, pay, and bonuses.
";"Prefers younger employees to older ones, especially if you don't have a lot of time with the company. Unexpected layoffs.
Advice to Management
Value the contributions of employees 50 and over.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-11;Anonymous;Former Employee, more than 1 year;Eh....;"Extra income
Occupied some evenings
Meet new people
Free drinks
Easy commute
";"Customers suck
Coworkers are lazy
Drama
Pay was decent-ish
Cleaning sucked
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-26;Anonymous;Current Employee, more than 10 years;Great place to work;"Great culture and upper management wants to do the right thing. Performance is recognized and rewarded but may be hard to move between different organizations depending on area
";"Work life balance is not optimal
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-06;Accounting Clerk;Former Employee, more than 1 year;Place yo work;"Good place. Pays. Hours. Dependable
";"Long day. Sleepy. Sucks sometimes. Boring
Advice to Management
None
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-22;Anonymous;Current Employee, less than 1 year;Good people;"Love working here with my team
";"Sometime it gets too hectic
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-19;Maintenance Supervisor;Current Employee;P66;"Great company to work for with excellent benefits
";"I have no cons to report
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-05;Scientist;Current Employee, more than 5 years;Dying Company in a Dying Industry;"Salary (we call it the golden handcuffs)
";"Old facilities, inflexible work policies, no input from employees is taken seriously, and very hierarchical and out of date mentalities within leadership, up to CEO
Advice to Management
Realize that it is difficult to recruit talent to Bartlesville and value the people you have
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-18;Project Controls Engineer;Current Employee, more than 3 years;Great company;"Work life balance, Benefits, Compensation, coworkers
";"The long term viability of the business model
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-16;Operations Engineer;Current Employee, less than 1 year;Newhire Offer;"The company is proactive in developing new hires out of college
";"Poor work from home benefits and expected OT
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-14;Technician;Former Employee;Good Company;"I enjoyed my time here
";"There are no notable cons
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-13;Space Planner;Current Employee;Great;"Great values and leadership, above average benefits
";"Not very flexible work from home policy
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-27;Associate Technician;Former Employee;Great for the location;"Great benefits/offer package and excellent safety culture.
";"No value invested into knowledge transfer, very political environment, and management tags on a high emotional value added to advancement opportunities.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-23;Student;Current Employee;phillips 66;"nice people and a good atmosphere
";"diversity is not there at all
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-23;Operations Supervisor;Current Employee, more than 8 years;Nice pay;"Good pay, less than ideal work conditions
";"Poor management of their people, lack retention plan.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-08;Lead Design Engineer;Current Employee;P66 Engineer;"Great pay and benefits and career opportunities
";"Work/life balance is challenging to maintain
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-31;RC Analyst;Current Employee;Benefits Top Notch;"the company has grate Benefits
";"Management is not always the best
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-09;Project Manager;Former Employee, more than 3 years;Standard PM Role, Lower Paying;"Bonus is always going to be 10-12% of base with a loosely defined metric. Bonus will be similar unless one of the top performers.
";"Low Compensation. 6% 401k match. No flexible or work from home schedule.
Advice to Management
Managed well, but will need to pay more to retain talent in this industry.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-25;Internship;Current Employee;Great company to work for,if your put into a good team;"High salary, good benefits, and opportunity to grow.
";"Industry took a hit last year, causing much stress and discomfort in the team's attitude. Didn't feel comfortable working in the company
Be the first to find this review helpful
Helpful
Share
Repor"
