date;employee_title;employee_status;review_title;pros;cons
2021-10-19;Quality Engineer;Current Employee;Not Available;"Training Program is systematic and awesome.
";"I don't have any cons.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-22;Logistics Specialist;Current Employee, more than 1 year;good company;"Managment on your side, if you have the right leader, if not then it can be hard
";"Pay is ok, but could be better.
"
2021-10-20;General Field Engineer (WL);Current Employee;General Field Engineer (WL);"Fast and Clear Progression International Career Bonus Payment
";"Intense Work Level Low Prediction for Life Balance Planning
"
2021-10-18;Procurement Specialist;Former Employee, more than 3 years;Schlumberger;"Co-workers were exceptional Very diverse workforce Pay and benefits
";"Workload Frequent layoffs Managers were moved from department to department so fast they never got a chance to contribute to or learn a position.
"
2021-10-16;Senior Data Analytics Manager;Current Employee, more than 5 years;Great Technology / Scientific Company to work for in Energy Space;"Variety of tech problems Data Mix of Science and Engineering Scale
";"Seasonal Industry, driven by market forces
"
2021-10-13;Software Team Lead;Current Employee, more than 8 years;Pros and cons of working in a large company;"and cons of working in a large company
Oct 13, 2021 - Software Team Lead in Houston, TX
Recommend
CEO Approval
Business Outlook
Pros
Working on a big code base with a complicated architecture can be very challenging, especially when you need to redesign the code or add system-wide changes. You will also be working on a product with existing customers where your changes will have real-world impact.
";"Everything moves slowly in a big company due to bureaucracy and office politics. The daily schedule will include more meetings and interacting with other employees, so less writing code than in a startup.
"
2021-10-13;Electronics Technician;Current Employee, more than 3 years;Great Job;"Great benefits and good hours.
";"Schedule always changing and deadlines.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-12;Anonymous;Current Employee, more than 8 years;Great Opportunities;"Set your career goals and pursue them. SLB will help you if you help yourself. Opportunities are available to travel if you're interested.
";"No organization is perfect. Apply yourself.
"
2021-10-11;Sourcing Specialist;Current Employee;SLB review;"Good benefits Great team work/ communication
";"Many organizational changes Dependent on oil market cycles
"
2021-10-11;Anonymous;Former Employee, more than 3 years;Great company to work;"Great management, training and development opportunities.
";"None that I can remember at this time., Just be ready to work very hard.
"
2021-10-11;Procurement Specialist;Former Employee, more than 3 years;Overall good company;"Cross-functional training, the company has a global footprint so getting transferred to a new role every 2-3 years is common for someone that performs well.
";"Mass lay-offs when oil price is down
"
2021-10-11;Sourcing Specialist;Current Employee;SLB review;"Good benefits Great team work/ communication
";"Many organizational changes Dependent on oil market cycles
"
2021-10-07;Petroleum Engineer;Current Employee, more than 5 years;The best company to work and grow;"The career development program is fantastic
";"Not the best company during oil & gas crisis
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-07;Mechanical Engineer;Current Employee, more than 1 year;Good;"Good work life balance Pays well
";"Oil & gas volitality Not very employee friendly
"
2021-10-06;Senior Analytics Lead;Current Employee;Good place to work;"Great place to work for new graduates.
";"Not the best place to work for experienced candidates.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-06;Anonymous;Current Employee, more than 8 years;Learning place;"Good learning and for fresh graduates
";"Long working hours and instability
Be the first to find this review helpful
Helpful
Share
Repor"
