Company;Criteria 1;Score 1;Count 1;Criteria 2;Score 2;Count 2;Rank
ExxonMobil;Insurance;22;20;Insurance;22;20;14
ExxonMobil;Insurance;22;20;Safety;75;21;14
ExxonMobil;Insurance;22;20;Balance;48;77;14
ExxonMobil;Insurance;22;20;Retirement;29;23;14
ExxonMobil;Insurance;22;20;Racism;59;3;14
ExxonMobil;Insurance;22;20;Sexism;16;19;14
ExxonMobil;Insurance;22;20;Ageism;8;136;14
ExxonMobil;Insurance;22;20;Benefits;23;303;14
ExxonMobil;Insurance;22;20;Resources;31;182;14
ExxonMobil;Insurance;22;20;Opportunities;29;148;14
ExxonMobil;Insurance;22;20;Privacy;32;59;14
ExxonMobil;Insurance;22;20;Culture;18;167;14
ExxonMobil;Safety;75;21;Insurance;22;20;14
ExxonMobil;Safety;75;21;Safety;75;21;14
ExxonMobil;Safety;75;21;Balance;48;77;14
ExxonMobil;Safety;75;21;Retirement;29;23;14
ExxonMobil;Safety;75;21;Racism;59;3;14
ExxonMobil;Safety;75;21;Sexism;16;19;14
ExxonMobil;Safety;75;21;Ageism;8;136;14
ExxonMobil;Safety;75;21;Benefits;23;303;14
ExxonMobil;Safety;75;21;Resources;31;182;14
ExxonMobil;Safety;75;21;Opportunities;29;148;14
ExxonMobil;Safety;75;21;Privacy;32;59;14
ExxonMobil;Safety;75;21;Culture;18;167;14
ExxonMobil;Balance;48;77;Insurance;22;20;14
ExxonMobil;Balance;48;77;Safety;75;21;14
ExxonMobil;Balance;48;77;Balance;48;77;14
ExxonMobil;Balance;48;77;Retirement;29;23;14
ExxonMobil;Balance;48;77;Racism;59;3;14
ExxonMobil;Balance;48;77;Sexism;16;19;14
ExxonMobil;Balance;48;77;Ageism;8;136;14
ExxonMobil;Balance;48;77;Benefits;23;303;14
ExxonMobil;Balance;48;77;Resources;31;182;14
ExxonMobil;Balance;48;77;Opportunities;29;148;14
ExxonMobil;Balance;48;77;Privacy;32;59;14
ExxonMobil;Balance;48;77;Culture;18;167;14
ExxonMobil;Retirement;29;23;Insurance;22;20;14
ExxonMobil;Retirement;29;23;Safety;75;21;14
ExxonMobil;Retirement;29;23;Balance;48;77;14
ExxonMobil;Retirement;29;23;Retirement;29;23;14
ExxonMobil;Retirement;29;23;Racism;59;3;14
ExxonMobil;Retirement;29;23;Sexism;16;19;14
ExxonMobil;Retirement;29;23;Ageism;8;136;14
ExxonMobil;Retirement;29;23;Benefits;23;303;14
ExxonMobil;Retirement;29;23;Resources;31;182;14
ExxonMobil;Retirement;29;23;Opportunities;29;148;14
ExxonMobil;Retirement;29;23;Privacy;32;59;14
ExxonMobil;Retirement;29;23;Culture;18;167;14
ExxonMobil;Racism;59;3;Insurance;22;20;14
ExxonMobil;Racism;59;3;Safety;75;21;14
ExxonMobil;Racism;59;3;Balance;48;77;14
ExxonMobil;Racism;59;3;Retirement;29;23;14
ExxonMobil;Racism;59;3;Racism;59;3;14
ExxonMobil;Racism;59;3;Sexism;16;19;14
ExxonMobil;Racism;59;3;Ageism;8;136;14
ExxonMobil;Racism;59;3;Benefits;23;303;14
ExxonMobil;Racism;59;3;Resources;31;182;14
ExxonMobil;Racism;59;3;Opportunities;29;148;14
ExxonMobil;Racism;59;3;Privacy;32;59;14
ExxonMobil;Racism;59;3;Culture;18;167;14
ExxonMobil;Sexism;16;19;Insurance;22;20;14
ExxonMobil;Sexism;16;19;Safety;75;21;14
ExxonMobil;Sexism;16;19;Balance;48;77;14
ExxonMobil;Sexism;16;19;Retirement;29;23;14
ExxonMobil;Sexism;16;19;Racism;59;3;14
ExxonMobil;Sexism;16;19;Sexism;16;19;14
ExxonMobil;Sexism;16;19;Ageism;8;136;14
ExxonMobil;Sexism;16;19;Benefits;23;303;14
ExxonMobil;Sexism;16;19;Resources;31;182;14
ExxonMobil;Sexism;16;19;Opportunities;29;148;14
ExxonMobil;Sexism;16;19;Privacy;32;59;14
ExxonMobil;Sexism;16;19;Culture;18;167;14
ExxonMobil;Ageism;8;136;Insurance;22;20;14
ExxonMobil;Ageism;8;136;Safety;75;21;14
ExxonMobil;Ageism;8;136;Balance;48;77;14
ExxonMobil;Ageism;8;136;Retirement;29;23;14
ExxonMobil;Ageism;8;136;Racism;59;3;14
ExxonMobil;Ageism;8;136;Sexism;16;19;14
ExxonMobil;Ageism;8;136;Ageism;8;136;14
ExxonMobil;Ageism;8;136;Benefits;23;303;14
ExxonMobil;Ageism;8;136;Resources;31;182;14
ExxonMobil;Ageism;8;136;Opportunities;29;148;14
ExxonMobil;Ageism;8;136;Privacy;32;59;14
ExxonMobil;Ageism;8;136;Culture;18;167;14
ExxonMobil;Benefits;23;303;Insurance;22;20;14
ExxonMobil;Benefits;23;303;Safety;75;21;14
ExxonMobil;Benefits;23;303;Balance;48;77;14
ExxonMobil;Benefits;23;303;Retirement;29;23;14
ExxonMobil;Benefits;23;303;Racism;59;3;14
ExxonMobil;Benefits;23;303;Sexism;16;19;14
ExxonMobil;Benefits;23;303;Ageism;8;136;14
ExxonMobil;Benefits;23;303;Benefits;23;303;14
ExxonMobil;Benefits;23;303;Resources;31;182;14
ExxonMobil;Benefits;23;303;Opportunities;29;148;14
ExxonMobil;Benefits;23;303;Privacy;32;59;14
ExxonMobil;Benefits;23;303;Culture;18;167;14
ExxonMobil;Resources;31;182;Insurance;22;20;14
ExxonMobil;Resources;31;182;Safety;75;21;14
ExxonMobil;Resources;31;182;Balance;48;77;14
ExxonMobil;Resources;31;182;Retirement;29;23;14
ExxonMobil;Resources;31;182;Racism;59;3;14
ExxonMobil;Resources;31;182;Sexism;16;19;14
ExxonMobil;Resources;31;182;Ageism;8;136;14
ExxonMobil;Resources;31;182;Benefits;23;303;14
ExxonMobil;Resources;31;182;Resources;31;182;14
ExxonMobil;Resources;31;182;Opportunities;29;148;14
ExxonMobil;Resources;31;182;Privacy;32;59;14
ExxonMobil;Resources;31;182;Culture;18;167;14
ExxonMobil;Opportunities;29;148;Insurance;22;20;14
ExxonMobil;Opportunities;29;148;Safety;75;21;14
ExxonMobil;Opportunities;29;148;Balance;48;77;14
ExxonMobil;Opportunities;29;148;Retirement;29;23;14
ExxonMobil;Opportunities;29;148;Racism;59;3;14
ExxonMobil;Opportunities;29;148;Sexism;16;19;14
ExxonMobil;Opportunities;29;148;Ageism;8;136;14
ExxonMobil;Opportunities;29;148;Benefits;23;303;14
ExxonMobil;Opportunities;29;148;Resources;31;182;14
ExxonMobil;Opportunities;29;148;Opportunities;29;148;14
ExxonMobil;Opportunities;29;148;Privacy;32;59;14
ExxonMobil;Opportunities;29;148;Culture;18;167;14
ExxonMobil;Privacy;32;59;Insurance;22;20;14
ExxonMobil;Privacy;32;59;Safety;75;21;14
ExxonMobil;Privacy;32;59;Balance;48;77;14
ExxonMobil;Privacy;32;59;Retirement;29;23;14
ExxonMobil;Privacy;32;59;Racism;59;3;14
ExxonMobil;Privacy;32;59;Sexism;16;19;14
ExxonMobil;Privacy;32;59;Ageism;8;136;14
ExxonMobil;Privacy;32;59;Benefits;23;303;14
ExxonMobil;Privacy;32;59;Resources;31;182;14
ExxonMobil;Privacy;32;59;Opportunities;29;148;14
ExxonMobil;Privacy;32;59;Privacy;32;59;14
ExxonMobil;Privacy;32;59;Culture;18;167;14
ExxonMobil;Culture;18;167;Insurance;22;20;14
ExxonMobil;Culture;18;167;Safety;75;21;14
ExxonMobil;Culture;18;167;Balance;48;77;14
ExxonMobil;Culture;18;167;Retirement;29;23;14
ExxonMobil;Culture;18;167;Racism;59;3;14
ExxonMobil;Culture;18;167;Sexism;16;19;14
ExxonMobil;Culture;18;167;Ageism;8;136;14
ExxonMobil;Culture;18;167;Benefits;23;303;14
ExxonMobil;Culture;18;167;Resources;31;182;14
ExxonMobil;Culture;18;167;Opportunities;29;148;14
ExxonMobil;Culture;18;167;Privacy;32;59;14
ExxonMobil;Culture;18;167;Culture;18;167;14
Phillips66;Insurance;31;7;Insurance;31;7;3
Phillips66;Insurance;31;7;Safety;95;12;3
Phillips66;Insurance;31;7;Balance;49;38;3
Phillips66;Insurance;31;7;Retirement;44;9;3
Phillips66;Insurance;31;7;Racism;96;2;3
Phillips66;Insurance;31;7;Sexism;51;7;3
Phillips66;Insurance;31;7;Ageism;100;57;3
Phillips66;Insurance;31;7;Benefits;63;179;3
Phillips66;Insurance;31;7;Resources;63;118;3
Phillips66;Insurance;31;7;Opportunities;99;55;3
Phillips66;Insurance;31;7;Privacy;64;27;3
Phillips66;Insurance;31;7;Culture;50;61;3
Phillips66;Safety;95;12;Insurance;31;7;3
Phillips66;Safety;95;12;Safety;95;12;3
Phillips66;Safety;95;12;Balance;49;38;3
Phillips66;Safety;95;12;Retirement;44;9;3
Phillips66;Safety;95;12;Racism;96;2;3
Phillips66;Safety;95;12;Sexism;51;7;3
Phillips66;Safety;95;12;Ageism;100;57;3
Phillips66;Safety;95;12;Benefits;63;179;3
Phillips66;Safety;95;12;Resources;63;118;3
Phillips66;Safety;95;12;Opportunities;99;55;3
Phillips66;Safety;95;12;Privacy;64;27;3
Phillips66;Safety;95;12;Culture;50;61;3
Phillips66;Balance;49;38;Insurance;31;7;3
Phillips66;Balance;49;38;Safety;95;12;3
Phillips66;Balance;49;38;Balance;49;38;3
Phillips66;Balance;49;38;Retirement;44;9;3
Phillips66;Balance;49;38;Racism;96;2;3
Phillips66;Balance;49;38;Sexism;51;7;3
Phillips66;Balance;49;38;Ageism;100;57;3
Phillips66;Balance;49;38;Benefits;63;179;3
