Company;Criteria 1;Score 1;Count 1;Criteria 2;Score 2;Count 2;Rank
ExxonMobil;Insurance;-31;3;Insurance;-31;3;8
ExxonMobil;Insurance;-31;3;Safety;-11;11;8
ExxonMobil;Insurance;-31;3;Balance;-48;34;8
ExxonMobil;Insurance;-31;3;Retirement;-20;17;8
ExxonMobil;Insurance;-31;3;Racism;-37;3;8
ExxonMobil;Insurance;-31;3;Sexism;-43;7;8
ExxonMobil;Insurance;-31;3;Ageism;-67;123;8
ExxonMobil;Insurance;-31;3;Benefits;-52;64;8
ExxonMobil;Insurance;-31;3;Resources;-36;41;8
ExxonMobil;Insurance;-31;3;Opportunities;-68;45;8
ExxonMobil;Insurance;-31;3;Privacy;-43;6;8
ExxonMobil;Insurance;-31;3;Culture;-62;71;8
ExxonMobil;Safety;-11;11;Insurance;-31;3;8
ExxonMobil;Safety;-11;11;Safety;-11;11;8
ExxonMobil;Safety;-11;11;Balance;-48;34;8
ExxonMobil;Safety;-11;11;Retirement;-20;17;8
ExxonMobil;Safety;-11;11;Racism;-37;3;8
ExxonMobil;Safety;-11;11;Sexism;-43;7;8
ExxonMobil;Safety;-11;11;Ageism;-67;123;8
ExxonMobil;Safety;-11;11;Benefits;-52;64;8
ExxonMobil;Safety;-11;11;Resources;-36;41;8
ExxonMobil;Safety;-11;11;Opportunities;-68;45;8
ExxonMobil;Safety;-11;11;Privacy;-43;6;8
ExxonMobil;Safety;-11;11;Culture;-62;71;8
ExxonMobil;Balance;-48;34;Insurance;-31;3;8
ExxonMobil;Balance;-48;34;Safety;-11;11;8
ExxonMobil;Balance;-48;34;Balance;-48;34;8
ExxonMobil;Balance;-48;34;Retirement;-20;17;8
ExxonMobil;Balance;-48;34;Racism;-37;3;8
ExxonMobil;Balance;-48;34;Sexism;-43;7;8
ExxonMobil;Balance;-48;34;Ageism;-67;123;8
ExxonMobil;Balance;-48;34;Benefits;-52;64;8
ExxonMobil;Balance;-48;34;Resources;-36;41;8
ExxonMobil;Balance;-48;34;Opportunities;-68;45;8
ExxonMobil;Balance;-48;34;Privacy;-43;6;8
ExxonMobil;Balance;-48;34;Culture;-62;71;8
ExxonMobil;Retirement;-20;17;Insurance;-31;3;8
ExxonMobil;Retirement;-20;17;Safety;-11;11;8
ExxonMobil;Retirement;-20;17;Balance;-48;34;8
ExxonMobil;Retirement;-20;17;Retirement;-20;17;8
ExxonMobil;Retirement;-20;17;Racism;-37;3;8
ExxonMobil;Retirement;-20;17;Sexism;-43;7;8
ExxonMobil;Retirement;-20;17;Ageism;-67;123;8
ExxonMobil;Retirement;-20;17;Benefits;-52;64;8
ExxonMobil;Retirement;-20;17;Resources;-36;41;8
ExxonMobil;Retirement;-20;17;Opportunities;-68;45;8
ExxonMobil;Retirement;-20;17;Privacy;-43;6;8
ExxonMobil;Retirement;-20;17;Culture;-62;71;8
ExxonMobil;Racism;-37;3;Insurance;-31;3;8
ExxonMobil;Racism;-37;3;Safety;-11;11;8
ExxonMobil;Racism;-37;3;Balance;-48;34;8
ExxonMobil;Racism;-37;3;Retirement;-20;17;8
ExxonMobil;Racism;-37;3;Racism;-37;3;8
ExxonMobil;Racism;-37;3;Sexism;-43;7;8
ExxonMobil;Racism;-37;3;Ageism;-67;123;8
ExxonMobil;Racism;-37;3;Benefits;-52;64;8
ExxonMobil;Racism;-37;3;Resources;-36;41;8
ExxonMobil;Racism;-37;3;Opportunities;-68;45;8
ExxonMobil;Racism;-37;3;Privacy;-43;6;8
ExxonMobil;Racism;-37;3;Culture;-62;71;8
ExxonMobil;Sexism;-43;7;Insurance;-31;3;8
ExxonMobil;Sexism;-43;7;Safety;-11;11;8
ExxonMobil;Sexism;-43;7;Balance;-48;34;8
ExxonMobil;Sexism;-43;7;Retirement;-20;17;8
ExxonMobil;Sexism;-43;7;Racism;-37;3;8
ExxonMobil;Sexism;-43;7;Sexism;-43;7;8
ExxonMobil;Sexism;-43;7;Ageism;-67;123;8
ExxonMobil;Sexism;-43;7;Benefits;-52;64;8
ExxonMobil;Sexism;-43;7;Resources;-36;41;8
ExxonMobil;Sexism;-43;7;Opportunities;-68;45;8
ExxonMobil;Sexism;-43;7;Privacy;-43;6;8
ExxonMobil;Sexism;-43;7;Culture;-62;71;8
ExxonMobil;Ageism;-67;123;Insurance;-31;3;8
ExxonMobil;Ageism;-67;123;Safety;-11;11;8
ExxonMobil;Ageism;-67;123;Balance;-48;34;8
ExxonMobil;Ageism;-67;123;Retirement;-20;17;8
ExxonMobil;Ageism;-67;123;Racism;-37;3;8
ExxonMobil;Ageism;-67;123;Sexism;-43;7;8
ExxonMobil;Ageism;-67;123;Ageism;-67;123;8
ExxonMobil;Ageism;-67;123;Benefits;-52;64;8
ExxonMobil;Ageism;-67;123;Resources;-36;41;8
ExxonMobil;Ageism;-67;123;Opportunities;-68;45;8
ExxonMobil;Ageism;-67;123;Privacy;-43;6;8
ExxonMobil;Ageism;-67;123;Culture;-62;71;8
ExxonMobil;Benefits;-52;64;Insurance;-31;3;8
ExxonMobil;Benefits;-52;64;Safety;-11;11;8
ExxonMobil;Benefits;-52;64;Balance;-48;34;8
ExxonMobil;Benefits;-52;64;Retirement;-20;17;8
ExxonMobil;Benefits;-52;64;Racism;-37;3;8
ExxonMobil;Benefits;-52;64;Sexism;-43;7;8
ExxonMobil;Benefits;-52;64;Ageism;-67;123;8
ExxonMobil;Benefits;-52;64;Benefits;-52;64;8
ExxonMobil;Benefits;-52;64;Resources;-36;41;8
ExxonMobil;Benefits;-52;64;Opportunities;-68;45;8
ExxonMobil;Benefits;-52;64;Privacy;-43;6;8
ExxonMobil;Benefits;-52;64;Culture;-62;71;8
ExxonMobil;Resources;-36;41;Insurance;-31;3;8
ExxonMobil;Resources;-36;41;Safety;-11;11;8
ExxonMobil;Resources;-36;41;Balance;-48;34;8
ExxonMobil;Resources;-36;41;Retirement;-20;17;8
ExxonMobil;Resources;-36;41;Racism;-37;3;8
ExxonMobil;Resources;-36;41;Sexism;-43;7;8
ExxonMobil;Resources;-36;41;Ageism;-67;123;8
ExxonMobil;Resources;-36;41;Benefits;-52;64;8
ExxonMobil;Resources;-36;41;Resources;-36;41;8
ExxonMobil;Resources;-36;41;Opportunities;-68;45;8
ExxonMobil;Resources;-36;41;Privacy;-43;6;8
ExxonMobil;Resources;-36;41;Culture;-62;71;8
ExxonMobil;Opportunities;-68;45;Insurance;-31;3;8
ExxonMobil;Opportunities;-68;45;Safety;-11;11;8
ExxonMobil;Opportunities;-68;45;Balance;-48;34;8
ExxonMobil;Opportunities;-68;45;Retirement;-20;17;8
ExxonMobil;Opportunities;-68;45;Racism;-37;3;8
ExxonMobil;Opportunities;-68;45;Sexism;-43;7;8
ExxonMobil;Opportunities;-68;45;Ageism;-67;123;8
ExxonMobil;Opportunities;-68;45;Benefits;-52;64;8
ExxonMobil;Opportunities;-68;45;Resources;-36;41;8
ExxonMobil;Opportunities;-68;45;Opportunities;-68;45;8
ExxonMobil;Opportunities;-68;45;Privacy;-43;6;8
ExxonMobil;Opportunities;-68;45;Culture;-62;71;8
ExxonMobil;Privacy;-43;6;Insurance;-31;3;8
ExxonMobil;Privacy;-43;6;Safety;-11;11;8
ExxonMobil;Privacy;-43;6;Balance;-48;34;8
ExxonMobil;Privacy;-43;6;Retirement;-20;17;8
ExxonMobil;Privacy;-43;6;Racism;-37;3;8
ExxonMobil;Privacy;-43;6;Sexism;-43;7;8
ExxonMobil;Privacy;-43;6;Ageism;-67;123;8
ExxonMobil;Privacy;-43;6;Benefits;-52;64;8
ExxonMobil;Privacy;-43;6;Resources;-36;41;8
ExxonMobil;Privacy;-43;6;Opportunities;-68;45;8
ExxonMobil;Privacy;-43;6;Privacy;-43;6;8
ExxonMobil;Privacy;-43;6;Culture;-62;71;8
ExxonMobil;Culture;-62;71;Insurance;-31;3;8
ExxonMobil;Culture;-62;71;Safety;-11;11;8
ExxonMobil;Culture;-62;71;Balance;-48;34;8
ExxonMobil;Culture;-62;71;Retirement;-20;17;8
ExxonMobil;Culture;-62;71;Racism;-37;3;8
ExxonMobil;Culture;-62;71;Sexism;-43;7;8
ExxonMobil;Culture;-62;71;Ageism;-67;123;8
ExxonMobil;Culture;-62;71;Benefits;-52;64;8
ExxonMobil;Culture;-62;71;Resources;-36;41;8
ExxonMobil;Culture;-62;71;Opportunities;-68;45;8
ExxonMobil;Culture;-62;71;Privacy;-43;6;8
ExxonMobil;Culture;-62;71;Culture;-62;71;8
Phillips66;Insurance;-13;4;Insurance;-13;4;1
Phillips66;Insurance;-13;4;Safety;0;6;1
Phillips66;Insurance;-13;4;Balance;0;18;1
Phillips66;Insurance;-13;4;Retirement;-12;6;1
Phillips66;Insurance;-13;4;Racism;-4;2;1
Phillips66;Insurance;-13;4;Sexism;-7;4;1
Phillips66;Insurance;-13;4;Ageism;0;43;1
Phillips66;Insurance;-13;4;Benefits;-9;37;1
Phillips66;Insurance;-13;4;Resources;-12;21;1
Phillips66;Insurance;-13;4;Opportunities;0;20;1
Phillips66;Insurance;-13;4;Privacy;0;0;1
Phillips66;Insurance;-13;4;Culture;-11;12;1
Phillips66;Safety;0;6;Insurance;-13;4;1
Phillips66;Safety;0;6;Safety;0;6;1
Phillips66;Safety;0;6;Balance;0;18;1
Phillips66;Safety;0;6;Retirement;-12;6;1
Phillips66;Safety;0;6;Racism;-4;2;1
Phillips66;Safety;0;6;Sexism;-7;4;1
Phillips66;Safety;0;6;Ageism;0;43;1
Phillips66;Safety;0;6;Benefits;-9;37;1
Phillips66;Safety;0;6;Resources;-12;21;1
Phillips66;Safety;0;6;Opportunities;0;20;1
Phillips66;Safety;0;6;Privacy;0;0;1
Phillips66;Safety;0;6;Culture;-11;12;1
Phillips66;Balance;0;18;Insurance;-13;4;1
Phillips66;Balance;0;18;Safety;0;6;1
Phillips66;Balance;0;18;Balance;0;18;1
Phillips66;Balance;0;18;Retirement;-12;6;1
Phillips66;Balance;0;18;Racism;-4;2;1
Phillips66;Balance;0;18;Sexism;-7;4;1
Phillips66;Balance;0;18;Ageism;0;43;1
Phillips66;Balance;0;18;Benefits;-9;37;1
Phillips66;Balance;0;18;Resources;-12;21;1
Phillips66;Balance;0;18;Opportunities;0;20;1
Phillips66;Balance;0;18;Privacy;0;0;1
Phillips66;Balance;0;18;Culture;-11;12;1
Phillips66;Retirement;-12;6;Insurance;-13;4;1
Phillips66;Retirement;-12;6;Safety;0;6;1
Phillips66;Retirement;-12;6;Balance;0;18;1
Phillips66;Retirement;-12;6;Retirement;-12;6;1
Phillips66;Retirement;-12;6;Racism;-4;2;1
Phillips66;Retirement;-12;6;Sexism;-7;4;1
Phillips66;Retirement;-12;6;Ageism;0;43;1
Phillips66;Retirement;-12;6;Benefits;-9;37;1
Phillips66;Retirement;-12;6;Resources;-12;21;1
Phillips66;Retirement;-12;6;Opportunities;0;20;1
Phillips66;Retirement;-12;6;Privacy;0;0;1
Phillips66;Retirement;-12;6;Culture;-11;12;1
Phillips66;Racism;-4;2;Insurance;-13;4;1
Phillips66;Racism;-4;2;Safety;0;6;1
Phillips66;Racism;-4;2;Balance;0;18;1
Phillips66;Racism;-4;2;Retirement;-12;6;1
Phillips66;Racism;-4;2;Racism;-4;2;1
Phillips66;Racism;-4;2;Sexism;-7;4;1
Phillips66;Racism;-4;2;Ageism;0;43;1
Phillips66;Racism;-4;2;Benefits;-9;37;1
Phillips66;Racism;-4;2;Resources;-12;21;1
Phillips66;Racism;-4;2;Opportunities;0;20;1
Phillips66;Racism;-4;2;Privacy;0;0;1
Phillips66;Racism;-4;2;Culture;-11;12;1
Phillips66;Sexism;-7;4;Insurance;-13;4;1
Phillips66;Sexism;-7;4;Safety;0;6;1
Phillips66;Sexism;-7;4;Balance;0;18;1
Phillips66;Sexism;-7;4;Retirement;-12;6;1
Phillips66;Sexism;-7;4;Racism;-4;2;1
Phillips66;Sexism;-7;4;Sexism;-7;4;1
Phillips66;Sexism;-7;4;Ageism;0;43;1
Phillips66;Sexism;-7;4;Benefits;-9;37;1
Phillips66;Sexism;-7;4;Resources;-12;21;1
Phillips66;Sexism;-7;4;Opportunities;0;20;1
Phillips66;Sexism;-7;4;Privacy;0;0;1
Phillips66;Sexism;-7;4;Culture;-11;12;1
Phillips66;Ageism;0;43;Insurance;-13;4;1
Phillips66;Ageism;0;43;Safety;0;6;1
Phillips66;Ageism;0;43;Balance;0;18;1
Phillips66;Ageism;0;43;Retirement;-12;6;1
Phillips66;Ageism;0;43;Racism;-4;2;1
Phillips66;Ageism;0;43;Sexism;-7;4;1
Phillips66;Ageism;0;43;Ageism;0;43;1
Phillips66;Ageism;0;43;Benefits;-9;37;1
Phillips66;Ageism;0;43;Resources;-12;21;1
Phillips66;Ageism;0;43;Opportunities;0;20;1
Phillips66;Ageism;0;43;Privacy;0;0;1
Phillips66;Ageism;0;43;Culture;-11;12;1
Phillips66;Benefits;-9;37;Insurance;-13;4;1
Phillips66;Benefits;-9;37;Safety;0;6;1
Phillips66;Benefits;-9;37;Balance;0;18;1
Phillips66;Benefits;-9;37;Retirement;-12;6;1
Phillips66;Benefits;-9;37;Racism;-4;2;1
Phillips66;Benefits;-9;37;Sexism;-7;4;1
Phillips66;Benefits;-9;37;Ageism;0;43;1
