Company;Criteria 1;Score 1;Count 1;Criteria 2;Score 2;Count 2;Rank
ExxonMobil;Insurance;6;17;Insurance;6;17;14
ExxonMobil;Insurance;6;17;Safety;67;10;14
ExxonMobil;Insurance;6;17;Balance;60;43;14
ExxonMobil;Insurance;6;17;Retirement;31;6;14
ExxonMobil;Insurance;6;17;Racism;0;0;14
ExxonMobil;Insurance;6;17;Sexism;28;12;14
ExxonMobil;Insurance;6;17;Ageism;14;13;14
ExxonMobil;Insurance;6;17;Benefits;6;239;14
ExxonMobil;Insurance;6;17;Resources;42;141;14
ExxonMobil;Insurance;6;17;Opportunities;23;103;14
ExxonMobil;Insurance;6;17;Privacy;33;53;14
ExxonMobil;Insurance;6;17;Culture;57;96;14
ExxonMobil;Safety;67;10;Insurance;6;17;14
ExxonMobil;Safety;67;10;Safety;67;10;14
ExxonMobil;Safety;67;10;Balance;60;43;14
ExxonMobil;Safety;67;10;Retirement;31;6;14
ExxonMobil;Safety;67;10;Racism;0;0;14
ExxonMobil;Safety;67;10;Sexism;28;12;14
ExxonMobil;Safety;67;10;Ageism;14;13;14
ExxonMobil;Safety;67;10;Benefits;6;239;14
ExxonMobil;Safety;67;10;Resources;42;141;14
ExxonMobil;Safety;67;10;Opportunities;23;103;14
ExxonMobil;Safety;67;10;Privacy;33;53;14
ExxonMobil;Safety;67;10;Culture;57;96;14
ExxonMobil;Balance;60;43;Insurance;6;17;14
ExxonMobil;Balance;60;43;Safety;67;10;14
ExxonMobil;Balance;60;43;Balance;60;43;14
ExxonMobil;Balance;60;43;Retirement;31;6;14
ExxonMobil;Balance;60;43;Racism;0;0;14
ExxonMobil;Balance;60;43;Sexism;28;12;14
ExxonMobil;Balance;60;43;Ageism;14;13;14
ExxonMobil;Balance;60;43;Benefits;6;239;14
ExxonMobil;Balance;60;43;Resources;42;141;14
ExxonMobil;Balance;60;43;Opportunities;23;103;14
ExxonMobil;Balance;60;43;Privacy;33;53;14
ExxonMobil;Balance;60;43;Culture;57;96;14
ExxonMobil;Retirement;31;6;Insurance;6;17;14
ExxonMobil;Retirement;31;6;Safety;67;10;14
ExxonMobil;Retirement;31;6;Balance;60;43;14
ExxonMobil;Retirement;31;6;Retirement;31;6;14
ExxonMobil;Retirement;31;6;Racism;0;0;14
ExxonMobil;Retirement;31;6;Sexism;28;12;14
ExxonMobil;Retirement;31;6;Ageism;14;13;14
ExxonMobil;Retirement;31;6;Benefits;6;239;14
ExxonMobil;Retirement;31;6;Resources;42;141;14
ExxonMobil;Retirement;31;6;Opportunities;23;103;14
ExxonMobil;Retirement;31;6;Privacy;33;53;14
ExxonMobil;Retirement;31;6;Culture;57;96;14
ExxonMobil;Racism;0;0;Insurance;6;17;14
ExxonMobil;Racism;0;0;Safety;67;10;14
ExxonMobil;Racism;0;0;Balance;60;43;14
ExxonMobil;Racism;0;0;Retirement;31;6;14
ExxonMobil;Racism;0;0;Racism;0;0;14
ExxonMobil;Racism;0;0;Sexism;28;12;14
ExxonMobil;Racism;0;0;Ageism;14;13;14
