Company;Date;Score;Review;Criteria
ExxonMobil;12/10/2021;68.72045142595701;Pension, health insurance benefits, rotating 4 on 4 off schedule;Insurance
ExxonMobil;11/09/2021;81.78028569976108;So many options available to you such as places to eat, coffee, pharmacy, dentist, eye care, and more Work flexibility Pay Time off Insurance Pension;Insurance
ExxonMobil;01/09/2021;90.87489197295513;Above average salary Smart, friendly coworkers Insurance benefits Retirement and pension;Insurance
ExxonMobil;20/09/2021;71.69945605205633;Insurance was good and affordable.;Insurance
ExxonMobil;27/08/2021;85.6082558080423;Health insurance is great, but all other benefits are lacking.;Insurance
ExxonMobil;02/08/2021;80.44329215596565;Good overall benefits: pension, 401k with 7 matching, education refund, medical insurance, product discount (gas 8%), restricted stock after certain classification level.;Insurance
ExxonMobil;29/07/2021;83.66122718722994;Exxon Pays well and has pretty good compensation package/insurance. Place was once a good place to work. But thru mismanagement it’s not any longer.;Insurance
ExxonMobil;14/08/2021;88.20090488536425;- Benefits (Health Care, 401k, etc) - Low technical performance expectations - Easy to keep employment;Insurance
ExxonMobil;16/07/2021;94.35209191195162;Stable company, good health insurance, great pension in addition to an ok 401k;Insurance
ExxonMobil;14/06/2021;68.72045142595701;Benefits: Health, dental, medical, stock options, salary;Insurance
ExxonMobil;24/06/2021;49.31116872553506;medical, dental, vacation, pension, 401k, education reimbursement;Insurance
ExxonMobil;07/06/2021;78.38442377103351;Salary and health insurance are good, benefits were good but have decreased in competitiveness;Insurance
ExxonMobil;22/05/2021;88.54150780336536;Great Medical Benefits (includes eye & dental);Insurance
ExxonMobil;06/06/2021;88.54150780336536;They have great health benefits.;Insurance
ExxonMobil;09/03/2021;44.09028519139851;Pay, health insurance, change job roles every 2-5 years;Insurance
ExxonMobil;07/02/2021;88.54150780336536;Pension plan. Great health and dental benefits;Insurance
ExxonMobil;28/01/2021;94.84520359920697;The pay is fantastic, flexible hours, great health benefits;Insurance
Phillips66;06/03/2021;92.4253977937065;401k match, pension, medical, profit sharing, RSU, HSA, bonus;Insurance
Phillips66;15/02/2021;82.84784708454069;Good Benefits: 6% company 401k matching, paid full pay for sick days, still provides a retirement pension, cheap medical insurance monthly costs, yearly bonuses for hourly employees min 7.5%-20% of former years salary for hourly employees, yearly cost of living raise;Insurance
Phillips66;05/03/2021;75.26816125260537;Benefits— 401k match, savings plan for retirement, reduced health insurance (used to be free);Insurance
Conocophilips;07/01/2019;81.68878043820855;Good pay and benefits. Health care with Aetna is terrible though;Insurance
Conocophilips;14/09/2018;98.78501347160795;I love the work culture and also the fact that i have some of the best benefits in the industry. Great pension, 401k, and health insurance are just a few reasons this place is great. I have 6 years with the company and I have been rewarded competitively.;Insurance
Conocophilips;04/04/2018;83.39687865385594;Good benefits - 410k match, cash savings account, RSU, insurance Large company;Insurance
Conocophilips;31/01/2018;95.17563926592449;Everything about company is awesome like Benefits, culture, health insurance, facilities etc. company lets you show your passion/talent . Everything is good about the company;Insurance
Conocophilips;07/01/2018;91.35783640892687;There are great benefits including 401k, pension, medical, dental, and vision. There are also career development options. Cross function training available too.;Insurance
Conocophilips;10/08/2017;94.21991764526463;Great Benefit packages, stock options, 401k matching program and medical insurance. Friendly work environment.;Insurance
Conocophilips;01/01/2017;87.08250724416655;Great Benefits and pay including Pension and 401k;Insurance
Conocophilips;19/04/2016;95.0688831274465;I appreciate the fair pay, good insurance and 401k. The office are nice. You never know who you may meet or their background, I appreciate the diversity.;Insurance
Conocophilips;16/03/2016;87.08250724416655;Global company with excellent salary and benefits such as 401k, health plan, etc.;Insurance
Conocophilips;18/01/2016;96.58888719434702;ConocoPhillips is a great place to work. They have great benefits and are dedicated to the health, wellbeing and development of their people.;Insurance
Conocophilips;16/08/2015;91.5865995628082;Great company to work for. Excellent health plan and relocation package.;Insurance
Conocophilips;21/07/2015;78.38442377103351;great pay, 401k and pension;Insurance
Conocophilips;09/06/2015;84.91179909511466;-Good salary/benefits. Good peer group, reasonable medical insurance.;Insurance
Conocophilips;01/05/2015;96.94982461491536;-Great Benefits, Good Health Incentives, competitive salary, depending on the location nice installations that have onsite gyms.;Insurance
Conocophilips;16/01/2015;89.50231304966701;Competitive salaries and excellent health benefits;Insurance
Conocophilips;29/07/2014;90.2801077728636;The Benefits are really good. The health insurance, vacation, sick time, comp time (exempt employees) as well as the yearly VCIP if the company does well makes it very much worth while.;Insurance
Conocophilips;27/07/2014;84.91179909511466;The on-site gym is awesome. The company is very health conscious and competitive in sports.;Insurance
Conocophilips;30/01/2014;88.70926744954502;The pay is pretty good. Benefits (health insurance, bonuses, pension, etc.) are decent. If you are an engineer or geologist, you get better incentives than other functions (restricted stocks, etc). The company has 9/80s, which means some people get every other Friday off (but not everybody).;Insurance
Conocophilips;11/10/2013;90.08184637283311;good pay insurance and profit sharing;Insurance
Conocophilips;02/02/2013;95.75008896344877;- New CEO Ryan Lance seems like he cares more for his employees than Mulva did. (example: he did away with Mulva's joke of a forced rankings system) (example: he recently raised the bonus target rate for certain salary grades.) - Good retirement (although not as good as Devon's) and health benefits/insurance. - 19/30 days (work an extra 30 minutes each day and get one day off a month & doesn't count against vacation days) - Good work/life balance;Insurance
Conocophilips;23/03/2011;98.08855675868031;19/30 days we get one extra day off a year 401K matching is great Free health insurance is great Overall great benefits;Insurance
Conocophilips;04/09/2018;68.72045142595701;Recognition for accomplishments. Provide opportunities to learn a new skill. Provides medical insurance packages non-sponsored female employees.;Insurance
Conocophilips;01/06/2017;91.81027909104773;Excellent health and safety culture, security, and staff;Insurance
Schlumberger;14/09/2021;93.32519953230644;Great company culture. Values employee development, health and safe keeping.;Insurance
Schlumberger;23/08/2021;77.64729805297138;6% match and bonuses with affordable health plans;Insurance
Schlumberger;20/04/2021;96.71597783539221;They train you well. There is plenty of opportunity for transverse career growth. Good health insurance and bonus structure. Well defined raise process.;Insurance
Schlumberger;26/03/2021;94.0826597529358;Excellent health medical insurance. generous medical care days, personal days off and vacations;Insurance
Schlumberger;22/03/2021;89.19221188551676;Decent salary Great medical insurance Some of the people are nice;Insurance
Schlumberger;10/02/2021;94.7282802094454;Interesting projects, care about people, health care and vacation benefits;Insurance
Schlumberger;21/02/2021;87.83996746479592;Good Benefits (401k match, 3 weeks starting vacation, dental, medical, vision);Insurance
Schlumberger;27/01/2021;68.72045142595701;Benefits, building, 401k, medical, culture.;Insurance
Schlumberger;02/03/2021;83.39687865385594;good health, life, dental benefits;Insurance
Schlumberger;13/01/2021;68.72045142595701;Compensation, health benefits, PTO, etc;Insurance
Schlumberger;15/01/2021;88.20090488536425;Coworkers I worked with are great Decent pay Health insurance is good;Insurance
Schlumberger;02/02/2021;60.815413552945955;Multicultural, flexible shifts, Health insurance;Insurance
Schlumberger;26/11/2020;71.69945605205633;Salary, good insurance, vacation time;Insurance
Schlumberger;25/08/2020;91.5865995628082;Promotion opportunities, bonuses, health benefits;Insurance
Valero;10/07/2021;91.81027909104773;The San Antonio campus is beautiful with a gym that rivals any commercial gym, an on-site cafeteria, and a medical clinic for employees and family members covered by the insurance plan. Employees are bright people, and work well together, for the most part.;Insurance
Valero;19/08/2020;92.4253977937065;Big corporation Good soft benefits - on-site gym, on-site medical facility, great health plan, decent 401K match, decent base pay;Insurance
Valero;18/05/2020;86.2640435158355;Health benefits, a pension, yearly bonus.;Insurance
Valero;16/02/2017;88.54150780336536;Great pay-401k-health & medical benefits;Insurance
Valero;27/12/2016;71.69945605205633;The 4 1k was good and so was the insurance;Insurance
Valero;16/02/2017;88.54150780336536;Great pay-401k-health & medical benefits;Insurance
Valero;27/12/2016;71.69945605205633;The 4 1k was good and so was the insurance;Insurance
Duke;08/09/2021;44.09028519139851;I pay 1,000 a month for insurance.;Insurance
Duke;21/07/2021;91.81027909104773;Great benefits, and insurance. Supportive supervision;Insurance
Duke;26/02/2021;89.79716333689188;Good wages, health/vision/dental insurance, 401k w/ best matching I’ve seen, HSA match;Insurance
Duke;19/01/2021;83.39687865385594;401k matching, health, dental and vision insurance, yearly bonus;Insurance
Duke;15/02/2021;68.72045142595701;Benefits (vacation, insurance, etc.), diversity.;Insurance
Duke;04/11/2020;27.883686645315446;Paycheck, insurance and recession proof.;Insurance
Duke;07/11/2019;94.60627319404199;Duke 401k is 100% match at 6% of your salary, and they automatically give you an additional 4% (vested after 3 years) even if you put in nothing. Annual match for HSA ($1,200). 3 weeks vacation with 3 personal holidays. 6 weeks paternity leave. Great health insurance. Annual bonus of up to 11-12%. Flex work schedule (980 or 4-10). Adapting to make changes for Climate Change.;Insurance
