;Company;date;employee_title;employee_status;review_title;pros;cons
0;ExxonMobil;2021-05-18;IT Analyst;Current Employee, more than 1 year;Great Company Overall;"Great work environment Great benefits Pretty good work/life balance
";"I have not experienced anything negative so far
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
1;ExxonMobil;2021-09-04;R&D Manager;Former Employee;working on energy R&D;"Outstanding colleagues, working on high impact problems
";"Difficult industry business environment currently.
Be the first to find this review helpful
Helpful
Share
Repor"
2;ExxonMobil;2021-10-16;Chemical Technician;Current Employee, more than 3 years;Flexibility;"The flexibility and the nature of working there is more like a family environment. I love it how we all look out for each other.
";"No downside. PERIOD. Such a great place to join.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
3;ExxonMobil;2021-10-15;Anonymous;Current Employee, more than 10 years;I can only be thankful;"I am achieving my dreams in partnership with the company. Very thankful. It is hard work, but when wasn't it supposed to be that way if you pursue your dreams.
";"It is hard times right now. But for me, it's worth it.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
4;ExxonMobil;2021-10-13;Engineer;Former Employee;Decent company to work for;"Competitive pay, structured benefits, and job satisfaction
";"Even if you worked your tail off the whole year, you must endure the strange evaluation system at the end of it.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
5;ExxonMobil;2021-10-12;Process Technician;Current Employee, more than 1 year;New PT;"Pension, health insurance benefits, rotating 4 on 4 off schedule
";"Very old refinery, a lot of older senior employees seem to be very unhappy.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
6;ExxonMobil;2021-10-12;Systems Administrator;Current Employee;n;"Benefits, Salary, people, environment, campus
";"I have no cons ok
Be the first to find this review helpful
Helpful
Share
Repor"
7;ExxonMobil;2021-10-12;Environmental Advisor;Current Employee;;"overall a good place to work
";"reorganization frequently causing a lot of confusion
Be the first to find this review helpful
Helpful
Share
Repor"
8;ExxonMobil;2021-10-11;Business Development Manager;Current Employee, more than 10 years;Great Experience;"People, Assignment opportunities, Benefits, Salary
";"Short sighted, Clicky, lack of transparency
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
9;ExxonMobil;2021-10-03;Lead Engineer;Current Employee;Lead Engineer;"Great place to work depending on career path and group placed in the company; Competitive benefits
";"Performance politics and ranking nuances can sometimes deter innovation; expect long and sometimes unreasonable hours
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
10;ExxonMobil;2021-10-03;Sales Analyst;Former Employee;Great;"Awesome company to work for
";"Nothing is really a con
Be the first to find this review helpful
Helpful
Share
Repor"
11;ExxonMobil;2021-10-17;Business Development Manager;Current Employee;EM can return;"Work with best and brightest Challenging and fun assignments Reasonable compensation and benefits People can turn company around
";"Strategy is backward vs forward looking Employees have become disposable parts
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
12;ExxonMobil;2021-10-17;Cost Engineer;Former Employee;Terrible Culture;"Salary and a nice campus.
";"Toxic culture. Employees are forced rank into buckets which creates a “Hunger Games” culture.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
13;ExxonMobil;2021-10-02;Mechanical Engineer;Former Employee, more than 3 years;Good company;"Great environment. Work culture. Good colleagues
";"Nothing much to write here
Be the first to find this review helpful
Helpful
Share
Repor"
14;ExxonMobil;2021-10-15;Geoscientist;Current Employee, more than 8 years;No longer a place for career longevity and stability;"- Base salary is good. - Can have plenty of time for studying and self-improvement.
";"- Toxic culture due to forced ranking every year. It is literally a hunger game now. - There is no place for technical specialists in the future.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
15;ExxonMobil;2021-10-16;Advanced Associate;Current Employee, more than 10 years;Toxic For Now;"Had some stability, consistency and fun in the past. I hope we're on the verge of throwing out the current Sr. management. Exciting to be part of the resistance within a collapsing empire.
";"Management is useless and/or terrified and/or sociopathic by design.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
16;ExxonMobil;2021-10-15;Associate Geologist;Former Employee, more than 10 years;"Good when it was good; frustrating always";"Excellent training prior to 2020. Very smart colleagues. Excellent compensation. Flexible work day. Amazing data and challenging projects.
";"Subjective performance evaluation system. Incestuous promotion process. Lack of ownership of one’s career. Lack of integrity by leader ship surrounding career growth opportunities and plans. Lack of continuity amongst leader ship and everything from business decisions to employee development. Generally a sense of self satisfactory and self congratulatory behavior within the company. Arrogance and pride abound. If you don’t get promoted before you turn 40, there is no hope. If you don’t get promoted before you have children there is little help - still some hoe just not much.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
17;ExxonMobil;2021-09-30;Advisor;Current Employee;Excellent;"Great place to work with good benefits
";"Large corporation and many levels of management
Be the first to find this review helpful
Helpful
Share
Repor"
18;ExxonMobil;2021-10-14;Electrical Engineer;Current Employee;Terrible company to work;"You learn a lot in a short period of time You meet good people who are good at what they do
";"Culture is terrible alarmist everyone complains about working here No transparency with decision Unfair adavantage if you are a minority trying to climb to the top (blonde hair, blue eyes) You are just a number You will be overworked and under compensated Don’t work here.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
19;ExxonMobil;2021-10-13;Senior (FP&A) Analyst;Current Employee, more than 3 years;Senior (FP&A) Analyst;"Compensation, benefits package, and workplace flexibility
";"Lack of transparency with career development, opportunities
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
