Company;review_title;pros;cons;score_pros;score_cons;insurance_pros;safety_pros;balance_pros;retirement_pros;culture_pros;racism_pros;sexism_pros;ageism_pros;benefits_pros;opportunities_pros;privacy_pros;resources_pros;insurance_cons;safety_cons;balance_cons;retirement_cons;culture_cons;racism_cons;sexism_cons;ageism_cons;benefits_cons;opportunities_cons;privacy_cons;resources_cons
ExxonMobil;Great Company Overall;Great work environment Great benefits Pretty good work/life balance;I have not experienced anything negative so far;0.95;0.87;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;working on energy R&D;Outstanding colleagues, working on high impact problems;Difficult industry business environment currently.;0.32;0.65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Flexibility;The flexibility and the nature of working there is more like a family environment. I love it how we all look out for each other.;No downside. PERIOD. Such a great place to join.;0.86;0.93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;I can only be thankful;I am achieving my dreams in partnership with the company. Very thankful. It is hard work, but when wasn't it supposed to be that way if you pursue your dreams.;It is hard times right now. But for me, it's worth it.;0.77;0.91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Decent company to work for;Competitive pay, structured benefits, and job satisfaction;Even if you worked your tail off the whole year, you must endure the strange evaluation system at the end of it.;0.7;0.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;New PT;Pension, health insurance benefits, rotating 4 on 4 off schedule;Very old refinery, a lot of older senior employees seem to be very unhappy.;0.38;0.57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;n;Benefits, Salary, people, environment, campus;I have no cons ok;0.38;0.57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;;overall a good place to work;reorganization frequently causing a lot of confusion;0.44;0.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Great Experience;People, Assignment opportunities, Benefits, Salary;Short sighted, Clicky, lack of transparency;0.64;0.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Lead Engineer;"Great place to work depending on career path and group placed in the company; Competitive benefits";"Performance politics and ranking nuances can sometimes deter innovation; expect long and sometimes unreasonable hours";0.81;0.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Great;Awesome company to work for;Nothing is really a con;0.62;0.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;EM can return;Work with best and brightest Challenging and fun assignments Reasonable compensation and benefits People can turn company around;Strategy is backward vs forward looking Employees have become disposable parts;0.94;0.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Terrible Culture;Salary and a nice campus.;Toxic culture. Employees are forced rank into buckets which creates a “Hunger Games” culture.1 person found this review helpfulHelpfulShareRepor;0.42;0.71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Good company;Great environment. Work culture. Good colleagues;Nothing much to write here;0.79;0.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;No longer a place for career longevity and stability;#NOM?;#NOM?;0.44;0.15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Toxic For Now;Had some stability, consistency and fun in the past. I hope we're on the verge of throwing out the current Sr. management. Exciting to be part of the resistance within a collapsing empire.;Management is useless and/or terrified and/or sociopathic by design.;0.8;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;"Good when it was good; frustrating always";Excellent training prior to 2020. Very smart colleagues. Excellent compensation. Flexible work day. Amazing data and challenging projects.;Subjective performance evaluation system. Incestuous promotion process. Lack of ownership of one’s career. Lack of integrity by leader ship surrounding career growth opportunities and plans. Lack of continuity amongst leader ship and everything from business decisions to employee development. Generally a sense of self satisfactory and self congratulatory behavior within the company. Arrogance and pride abound. If you don’t get promoted before you turn 40, there is no hope. If you don’t get promoted before you have children there is little help - still some hoe just not much.;0.95;0.93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Excellent;Great place to work with good benefits;Large corporation and many levels of management;0.86;0.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Terrible company to work;You learn a lot in a short period of time You meet good people who are good at what they do;Culture is terrible alarmist everyone complains about working here No transparency with decision Unfair adavantage if you are a minority trying to climb to the top (blonde hair, blue eyes) You are just a number You will be overworked and under compensated Don’t work here.1 person found this review helpfulHelpfulShareRepor;0.7;-0.27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Senior (FP&A) Analyst;Compensation, benefits package, and workplace flexibility;Lack of transparency with career development, opportunities;0.61;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Very competitive to hold a job;Great benefits and pay. Great parental time off and consideration for sick leave;Very competitive to remain working for this company. Yearly performance reviews are not very thorough and many times show personal emotions from supervisors instead of real objective results accomplished by the employers;0.78;0.89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Employees are Good, Management Could be Better;A lot of the people you work with are delightful, willing to teach, and genuinely want to be productive helpful employees. A lot of employees are willing to mentor and the career opportunities at the corporation are fantastic. Pay was great, benefits too. Best I've seen in the energy industry.;Forced ranking system is archaic and disincentives team work. Insecure employees end up working for themselves rather than the good of the corporation and turn to political games that help nobody except make themselves look good at the expense of productivity for the company Some employees and their managers in field offices are glaringly inappropriate. Good ole boy mentality outside Houston. Employees are highly commoditized and WFH is not accomodated;0.98;0.91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Good company in need of new thinking;Work with quality people, lots of opportunity for job and location moves. Good safety and controls culture. Retirement benefits.;Management too imperial, not collaborative. Promotion based on company politics rather than ability. Slow to change, very process oriented.;0.88;0.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Used to be a great place;You get to work with some very smart people and you learn a great deal. Benefits are (were) quite good (in pre-COVID times).;Projects organization has lost its rudder and has not been able to effectively put the new reorganization plans into place. Ranking & Rating system is opaque and arbitrary. Performance feedback it typically contradictory and useless. Supervisors don't give your career and interests much consideration. Workplace becoming increasingly toxic.;0.92;0.64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Struggling with change;Huge resources, meritocracy, very intriguin intelligent and capable people;Resists changes, very short to adapt;0.83;0.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
