date;employee_title;employee_status;review_title;pros;cons
2021-10-08;PhD In Renewable Energy;Former Employee;Great company and wide reaching knowledge;"Intellectually stimulating, organized, wide reaching and diversified.
";"Somewhat suppressive , limited in personal development and lifestyle choices
"
2021-09-29;Senior Drilling Consultant;Former Employee, more than 10 years;Well control specialist;;"ltant 
Recommend
CEO Approval
Business Outlook
Pros
Strong leader. Well control specialist. Positive safety culture
Cons
None what do every excellent company
"
2021-10-12;Instructional Designer;Current Employee;Hard to Live Here if You're From the West;"Great salary and benefits and communities to live in.
";"The company isn't so bad but benefits are slowly being eroded away. Living in Saudi is the biggest challenge if you're from the west especially post-covid with health passports.
"
2021-09-20;Project Manager;Current Employee, more than 8 years;Oils and Gas;"Excellent , outstanding a perfect company to work for
";"None . All is good
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-19;Senior Workover Engineer;Current Employee, more than 8 years;Excellent opportunity;"Saudi Aramco is by far an excellent employer. It's given me an international opportunity, that only can be obtain here. It is definitly a multinational employer company, open to all.
";"Only downside as any international company, it is far from family.
"
2021-07-02;Senior Inspection Engineer;Former Employee;Aramco Inspection Engineer;"Great pay and incentives and retirement.
";"Living in foreign country with restrictions
"
2021-05-29;Anonymous;Former Employee, more than 3 years;Excellent place t work;"Stability, work life balance, research
";"Slow processes, can be sometimes impeding politics at work
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-01;Senior Project Manager;Current Employee;Don’t. Just don’t.;"Money money money money money
";"Having to go to the office every day.
"
2021-04-24;Mechanical Engineer;Former Employee, more than 3 years;Troubled Company;"High start pay but small raises afterwards.
";"Chaotic and poorly educated management.
1 person found this review helpful
Helpful
Share
Repor"
2021-04-14;Inspector;Former Employee;Aramco;"Decent pay with overtime and bonus.
";"Living in foreign country and hot.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-27;Corpirate Communication Manager;Current Employee, more than 5 years;Look elsewhere...;"Above average salary and benefits...
";"Constant layoffs - rehiring over the last 4-5 years...
"
2021-02-12;Human Resources Administrator;Former Employee;HR;"Great benefits, medical and vacation days
";"Difficult to keep skills up to date with latest in the market
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-22;Industrial Skills Trainer;Former Employee;Industrial Skills Trainer;"Good benefits and time off
";"Politics, end of year reviews.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-15;Petroleum Engineer;Current Employee;Good;"Great salary range bob naji
";"Very long hours work nahi probably
"
2021-01-14;Human Resources Assistant;Current Employee;N/A;"Good environment and convenient location
";"Need to Work on development Plans for individuals
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-16;Logistics Coordinator;Former Employee;Good, Ok;"Great benefits and every other Friday off, vacation time is robust
";"Really early schedule, a lot of red tape for everything.
"
2021-01-01;Project Manager;Current Employee, more than 5 years;Good;"Very good work culture is there
";"Nothing really to say about anything
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-24;Editor;Current Employee;Company Works Like A Brand For Aplication Review;"Lots of talent, both new and old. Lots of different mods projects. Teams are taken care of well. Good new office space right in downtown near everything.
";"Sometimes projects can get really busy.
"
2020-12-06;Tax Specialist;Current Employee;Part Time employee;"Diverse culture and travel opportunities
";"Cultural differences and being away from home.
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-16;Technical Support;Former Employee;Good company;"Good company to work for
";"heat, humidity, sand, sun, language,
Be the first to find this review helpful
Helpful
Share
Repor"
2020-10-10;Administrative Assistant;Current Employee, more than 8 years;Layoffs;"I can't think of any.
";"bad location. Hundreds of America n s laid off in the 80s.
"
2020-07-22;Visual Merchandising;Former Employee, more than 5 years;Not a great environment.;"If you do not like the management, stick around it will change.
";"constant turnover, 10 General managers in 6.5 years
"
2020-06-12;Engineer;Current Employee, more than 3 years;Good benefits, bad politics;"Job security and unmatched job benefits
";"Company politics and unnecessary standards
1 person found this review helpful
Helpful
Share
Repor"
2019-09-06;Lab Technician;Current Employee, more than 1 year;Good;"High pay and. Good environment to work
";"I have no idea really
Be the first to find this review helpful
Helpful
Share
Repor"
2019-05-18;Operations Supervisor;Former Employee, more than 8 years;Best company in the world;"Great balance work and family wonderful atmosphere and professional the best job with the best company in the world Compensation and benefits are like no other company in the world
";"None what so ever
"
2019-05-12;Anonymous;Current Employee;Work place;"Good workplace and environment
";"No chance of career growth for expats
"
2018-11-29;Anonymous;Former Employee, more than 8 years;Technician at Saudi Aramco;"Good Benefits for expats but not for the Saudis
";"different jobs have the same pay. Like in the military, it's based on your grade code.
"
2018-11-26;Anonymous;Former Employee;Good job and nice career path;"Advanced degree program; work-life balance
";"You cannot get what you want in terms of development
"
2018-11-07;Anonymous;Former Employee;Educator;"Interesting place to live and work.
";"Working with Saudis is extremely challenging.
"
2018-11-07;Anonymous;Former Employee;oil and gas maintenance technician;"Good salary great health insurance good benefits
";"the difficult work environment and shifts
"
2018-10-15;Anonymous;Current Employee;Working at Aramco;"Excellent pay, benefits, vacation time, my team was very engaging and welcoming. Great management. Great work life balance and adventure.
";"Limited promotion opportunities. Bureaucracy. Risk-averse culture
"
