date;employee_title;employee_status;review_title;pros;cons
2021-10-24;Human Resources Business Partner HRBP;Former Employee;Great company, great people;"Great company culture, values employees, values community relationships
";"Industry is unstable so lots of layoffs & reorganizing
"
2021-10-26;Deck Cadet;Former Employee, less than 1 year;Great Company;"Long history of success Good Pay
";"Internal Union Communication can be difficult
"
2021-10-22;Retired;Former Employee;Upstream Major with good people, possibly narrowing opportunities;"Global portfolio though increasing focus on Permian unconventional assets Good people, who you can reach via cross company networks Ranks high for employee benefits
";"Big bet on Permian may reduce activity in other parts of portfolio Annual rating system is widely disliked and inflexible Slow to promote women to senior roles
"
2021-10-18;Senior Software Developer;Current Employee, more than 8 years;Great company;"Flexible working options, interesting assignments
";"In Bartlesville not much to do if you’re young and single
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-18;Business Transformation;Current Employee;Good people;"Opportunity for advancement and inclusive culture
";"None that I can think of
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-19;Fleet and Forms Supervisor;Current Employee;Overall excellent Company;"Great people and team to work with, I have loved my job and team for the last 11 years.
";"Inconsistencies in Covid Vaccine policies and requirements
"
2021-10-05;Anonymous;Current Employee, more than 3 years;Great company;"They treat employees very well.
";"Long hours and very busy.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-24;HSE Director;Current Employee, more than 10 years;Great company;"They treat their employees well
";"Hiring, raise freezes likely during downturn
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-24;Anonymous;Current Employee;Great Company;"Good pay. Focused leadership team.
";"Cyclical industry. Not afraid to have layoffs.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-15;Senior Business Analyst;Former Employee;Great company;"Company is Progressive, innovative and empowering
";"As it continues to shrink, growth opportunities are harder to come by.
"
2021-09-13;Accounting%2FFinance Supervisor;Current Employee, more than 8 years;Great People and Work;"Great development opportunities, supportive culture, challenging and interesting work
";"Not very diverse and leadership seems to be saying the right things but not doing anything about them. Don’t do a good job of choosing good leaders, value expertise over people skills
"
2021-09-09;Integrated Operation Coordinator;Former Employee, more than 10 years;Solid Career;"Held up to their core values: SPIRIT (Safety, People, Integrity, Responsible, Innovative, Teamwork). I was proud to be of part of COP for 29+ years.
";"Corporate world - if you know how a corporation operates, then there are no false expectations to be trifled with your employment. Occasionally you may run into a supervisor that does not truly embrace the core values.
"
2021-09-08;Business Analyst;Former Employee, more than 3 years;Great place to work. Stable but not exciting;"I enjoyed my time here. It’s a pretty stable environment overall with good benefits
";"Don’t expect quick change! The business moves slowly, but their responses have been on point
"
2021-09-16;Anonymous;Former Employee;Not the same;"Peers are great in many areas
";"Management and prospects for growth
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-14;Analyst;Former Employee, more than 1 year;Ok;"401k match, pay, 9/80, vacation
";"Tiered like every other corporation.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-27;Anonymous;Current Employee, more than 8 years;Solid company;"time off and pay is better than most
";"Slow to make decisions and growth opportunities are select few
"
2021-08-24;Communications and OCM;Current Employee, more than 10 years;Amazing Company - Highly Recommend;"Great benefits; leadership is very approachable; good opportunity to cross train and learn across the organization; strong work-life balance; flexible time in office and some work from home; high pay scale comparatively; diverse and inclusive global company; strong values and ethics; contributes to community and environment.
";"As with any company, you might find yourself reporting to a new supervisor or someone you don't particularly care for, but don't worry because throughout your career, you'll likely have a few supervisors along the way.
"
2021-08-22;Plant Operator;Current Employee;Great company employee driven;"Room for Job advancement Take care of the Employees
";"Having to deal with politics Need to worry more about the company that the employees person agenda
"
2021-08-31;Senior Land Analyst;Current Employee;*;"Salary and benefits. That is all.
";"Nepotism, competitiveness encouraged; wasn't for me.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-16;Supply Chain Coordinator;Current Employee, more than 8 years;Great Company;"Benefits, gym at work, great company strategy, industry leading company, amazing facility,
";"No stock grants for most mid-level employees, performance ratings are political, supervisors manage up, limited opportunity in a shrinking org, I thought culture was good before made aware that they are strongly considering mandating C19 vaccines
"
2021-07-31;Senior Financial Analyst;Former Employee, more than 8 years;Big Company;"Pays good, 9/80 work schedule with optional 2 at home days
";"No succession plans or clear career paths, Supervisors don't necessarily know how to perform the work being supervised. Management doesn't take the time to review their workers experience and knowledge before asking about new placements.
"
2021-07-21;Senior Process Engineer;Current Employee, more than 10 years;E&P Leader;"work life balance diversified portfolio - career opportunities challenging and dynamic work environment
";"relationship driven shrinking business case with respects to energy transition
"
2021-07-24;Senior Staff Accountant;Current Employee;Doesn’t walk the talk;"Great employees, Flexible schedule, Excellent benefits, great pay
";"Poor management Minimal opportunities Always laying off
"
2021-07-09;IT Administrator;Former Employee, more than 3 years;great company, but some managers;"I thought they were great. Office in Energy Row was nice. On site restaurant (not a cafeteria)
";"they do not encourage employees to be active in townhall meeting, so huge uncomfortable silence from employees to CEO.. Also my team went thru a lot of growing pains. Every month there was a new product which one or two will decisions but a lot of ""your eyes only'
"
2021-07-08;Manager;Current Employee;Good company;"has a strong balance sheet provide employees with good work and life balance
";"they are part of a cyclical industry
"
2021-06-25;Communications;Current Employee;Super company;"Work-life balance; bright colleagues; nice working environment
";"Consensus culture creates delays and decreased efficiency at times.
"
2021-06-25;IT Technical Analyst;Former Employee;Cop;"Good place to have a career.
";"Office politics sometimes get in the way.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-06-22;IT Management;Former Employee, more than 5 years;Good Company;"Good company with great benefits
";"Slow moving IT department. Rely on consulting firms to make decisions vs listening to employees.
"
2021-06-19;Pipeline Engineer;Current Employee, more than 3 years;Na;"Good great love it all
";"Sometimes not a lot of help
"
2021-06-18;Anonymous;Current Employee, more than 10 years;work life balance;"Great place to work and good pay
";"it is sensitive to oil prices
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-23;DRILLING CONSULTANT;Former Employee, more than 5 years;It ain’t what you know…..it’s who you k ow;"Good pay. Good accommodations. Great field superintendents.
";"You tell them the truth and they don’t like it. They will show you the door.
"
2021-06-15;Manager;Current Employee, more than 10 years;Pros and Cons;and ;"Jun 15, 2021 - Manager in Houston, TX
Recommend
CEO Approval
Business Outlook
Pros
Great commitment to safety and innovation
Cons
Layoffs and asset sales have limited opportunities
Be the first to find this review helpful
Helpful
Share
Repor"
2021-06-08;Senior IT Analyst;Current Employee, more than 8 years;Good job, happy to have it;"9/80 work schedule, great benefits, mutual respect
";"Changing how we do business post Covid is a challenge, but the heart is in the right place.
"
2021-06-09;Senior Architect;Former Employee, more than 5 years;Managed Desktop Infrastructure and Services.;"Great Salary and Benefits compared to rest of industry.
";"Extremely Volatile with constant layoffs and reorgs. Company has reduced staff from 20000 to 10000 in 5 years time.
"
2021-05-27;Staff Engineer;Current Employee, more than 10 years;Good paying Jobs;"Open communication. Work life balance.
";"Need to know people in higher places to move up. Few movement opportunities. Shrinking prospects.
"
2021-05-25;Staff Geologist;Current Employee, more than 5 years;Good, but far from perfect;"Pay, work-life balance, great place to start career
";"Leadership could be more in-touch with workforce, large yearly layoffs, shrinking industry
"
2021-05-19;HSE Specialist;Current Employee, more than 1 year;Ak;"Work schedule is the best
";"Not a lot of positions in HSE
Be the first to find this review helpful
Helpful
Share
Repor"
2021-05-19;Engineering Supervisor;Current Employee, more than 8 years;Great People Tough Systems;"The people are second to none
";"Death by powerpoint and process
"
2021-05-19;Drilling Supervisor;Current Employee;Good company, good benefits, poor employee rating system;"Great people, diverse, and solid company financials.
";"Raises and promotions can be disheartening.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-05-18;IT Analyst;Current Employee;Good Job;"People are great at COP.
";"Industry can be very cyclical.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-05-17;IT New Hire;Current Employee;Great;"Good benefits, Great environment, Good People
";"Can be slow work pace
Be the first to find this review helpful
Helpful
Share
Repor"
2021-05-28;Analyst;Former Employee;Good;"Good culture, great salary, good compensation
";"Sometimes in the field the work is very difficult
Be the first to find this review helpful
Helpful
Share
Repor"
2021-05-10;Product Owner (PO);Current Employee, more than 10 years;Great place to have a career;"Quality place to work, great coworkers
";"Massive changes to IT business unit is causing problems
Be the first to find this review helpful
Helpful
Share
Repor"
2021-05-19;IT Analyst;Former Employee, more than 8 years;Its okay;"Competitive salary, good benefits, opportunities for advancement are pretty good if you take initiative
";"Typical corporate America culture, nothing special here. For me, this was a con. For some, that's okay. Experience can vary drastically depending on manager. There are great ones and there are awful ones that have no business leading people. The reason I left the company is because I had an awful supervisor that was only looking after themselves. Don't expect this environment to be conducive for young professionals looking to make a difference. It can be quite stagnant at times (during the downturns and up swings). Experience can also vary drastically depending on where you are located, such as the corporate headquarters or a business unit (BU). I spent time in both, and prefer the culture in the BU, by far.
"
2021-05-04;Principal Engineer;Current Employee, more than 10 years;Great independent E&P company;"People oriented and flexible timing
";"Middle management clueless on what functions employees are performing
"
2021-05-17;Programmer;Current Employee;Individual contributors aren't valued;"Good salary Good benefits Great individual contributors to work with
";"Top down structure excludes individual contributors from giving input 5 layoffs in 6 years, including when oil is on the rise Managers look out for each other
"
2021-05-15;Manager;Former Employee;Meh;"I liked my schedule suck
";"Low pay bad people such
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-26;Engineer;Current Employee, more than 10 years;Good place to work;"Pay and Benefits. 9/80 schedule. Time off
";"None that I can think of
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-24;Reservoir Engineer;Former Employee;Good COmpany;"Good company to work for
";"Nothing to think of right now
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-22;Automation Analyst;Current Employee;Good paying job;"Good pay At this place
";"Lots of beauracracy at this place
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-20;Mso;Current Employee, more than 1 year;Mso;"Great company to work for
";"The lay people off seems every so many years
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-20;Analyst;Former Employee, more than 3 years;Great environment and people;"Great people to work with. High energy atmosphere.
";"Layoffs and budget restrictions when money got tight.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-05-01;Senior HSE;Former Employee, more than 1 year;Terrible Supervisors and Middle Managers;"Company is trying very hard to change culture.
";"Culture is terrible. I had the worse supervisor that I have ever had on my career. All supervisors and middle level are terrified and try to terrify their employees.
"
2021-04-15;Financial Analyst;Current Employee;Great place!;"Flexible Hours, Good Management and employees
";"Not able to work remotely
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-23;Land Analyst;Former Employee, more than 1 year;Terrible and selfish company, decent benefits but not competitive with peers;"best thing about the company is truly their 401k match
";"management does NOT care about you at all, the people who ""do well"" are those who chat all day and don't work hard
"
2021-04-05;Staff GIS Analyst;Former Employee;Job Stats;"Great Benefits for this O&G Company
";"Reductions in staff were too often
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-06;IT Analyst;Current Employee, more than 1 year;Great Company;"Lots of opportunities to find interesting roles within IT
";"Since it’s such a large company, innovation moves somewhat slowly
"
2021-04-05;Engineer;Former Employee;It was ok;"Ok but layoffs were common
";"There were multiple rounds of layoffs
Be the first to find this review helpful
Helpful
Share
Repor"
