date;employee_title;employee_status;review_title;pros;cons
2021-01-11;Shift Supervisor;Current Employee, more than 8 years;Awesome place full of opportunity;"Salary here is great. Management is great. They really listen to the needs and concerns of the employees.
";"For new hires, getting to top pay can take a while. Not everyone gets a full raise every year, but everyone does get a cost of living.
"
2021-10-21;Anonymous;Current Employee, less than 1 year;great place to work;"Take care of their workers
";"no cons to submit at all
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-31;Senior Project Manager;Current Employee, more than 5 years;Pretty Good Place to Work;"Most people are knowledgeable and easy to get along with. 6% 401K salary match and another 4% on top of that for a total 10% match. Decent salaries and bonuses. Stock discount program. Free gym for downtown employees. Not too much bureaucracy compared to other places I've worked.
";"Limited upward mobility, and sometimes operations personnel are difficult to deal with. Management is overly conservative with things like working from home/and remote (they explicitly said they will not be doing this).
"
2021-09-29;Accountant;Current Employee, more than 3 years;Great benefits but be prepared for a lot of work!;"Pay is good and benefits are second to none. Health insurance costs less with twice the coverage of my previous employer. Heavily subsidized parking or free bus passes for commuters.
";"Old school O&G mindset in management. Expect long hours and no flex time or work from home opportunities here. Also, PTO is mediocre at best.
"
2021-10-22;Pipeline Technician;Former Employee, more than 5 years;good;"good place to work with good pay
";"no cons for my area of work
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-11;Truck Driver;Former Employee, more than 3 years;Was good;"Pay was good and benefits
";"Pay good if you can get your loads and they start forcing drivers to go over the road that was hired on as local
"
2021-10-06;Measurement Technician;Current Employee, more than 5 years;Good place to work at;"Excellent benefits and good pay
";"No bonuses for hourly employees
"
2021-10-12;Pipeline Technician;Former Employee, more than 1 year;Good company to work for.;"Excellent team to work with and great leadership to work for.
";"I have no cons for this company.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-09;Pipeline Technician;Current Employee, more than 1 year;Great Job;"Good people good work great place
";"Nothing out of the normal of what you find at other places
"
2021-10-11;Tankerman PIC;Current Employee;Good job;"Awesome place to work, great benefits.
";"Working away from home has its downsides.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-19;Plant Operator;Current Employee, more than 3 years;It's alright;"Decent benefits, competitive pay, company is growing.
";"Not many, would be nice to have bonuses for the hourly folks.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-22;Senior Engineer;Current Employee;Good company to work for;"* the benefits and compensation
";"Old school rigid work schedule
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-22;EHST;Current Employee;Compliance Issues, Zero Flexibility, Bad Handling of Covid;"Many employees are disappointed in the company and leaving so there should be job openings listed soon. Good pay is the only reason to be here. Other departments at this company may have acceptable working conditions but the EHST Department has serious issues both in the field and corporate offices.
";"Widespread compliance issues and failing infrastructure that are severe enough to undermine the company's long term sustainability and stock prices. Understaffed and overworked. Zero flexibility (no flex time, no comp time, no work from home, no alternative schedule). If you are sick and have to take leave they still expect you to work at home while you are gone. Since they don't allow working from home, you will be expected to take PTO and work from home while sick. Hard work is rewarded with more work, not advancement. No support for employees with covid, or for employees with family members with covid.
"
2021-09-08;Senior Piping Engineer;Current Employee, more than 8 years;Good pay, lots and lots of work;"Great pay, stable company that is still growing quickly
";"Heavy workload, commerical group drives the bus.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-29;Accountant;Former Employee, more than 1 year;You get what you get;"Financially sound company. You get a decent wage and benefits.
";"During covid the company showed how inflexible it is and how much they really do not value employees.
"
2021-08-17;Accountant;Current Employee, less than 1 year;Great Work Life Balance;"If you’re looking for consistency and work life balance this company has it. You get off at 12:30 every Friday while still maintaining 40 hours.
";"Despite COVID-19 don’t expect being able to work for home, expect to go to the office everyday.
"
2021-09-22;Anonymous;Former Employee, more than 10 years;The Culture Has Changed;"Great colleagues and a few diamonds is management
";"The moral of this company is low. They used to care about their people but now non of the core values are embedded in the culture.
"
2021-09-24;Anonymous;Current Employee, more than 3 years;Project Controls;"We work a 9/80 work schedule
";"There is a lot of work
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-16;Cost Estimator;Current Employee, more than 3 years;Great company, great benefits;"Great company with great benefits
";"There aren’t a lot of cons. Sink or swim mentality.
"
