date;employee_title;employee_status;review_title;pros;cons
2020-11-11;Anonymous;Current Employee, more than 1 year;Best program to kickstart a career in corporate finance;"-Rotate in several areas of finance (FP&A, Commercial Finance, Supply Chain Finance, Investor Relations, BD, Controllership, etc) -Great executive exposure (CEOs, CFOs, etc.) -Opportunity to live in up to 4 different places in 2 years (with potential to rotate internationally) -Opportunity to rotate in multiple GE businesses (Gas Power, Renewable Energy, Nuclear, Aviation, Healthcare, Digital, Additive, Capital, etc.) -Challenging virtual/in person classes throughout the two year program in cities such Atlanta, Boston, New York (GE Crotonville), Chicago, etc. -Comprehensive relocation assistance/moving packages -Competitive 401k plan -Competitive compensation -Flexible work from home options
";"-Challenging business environment given COVID-19
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-10-21;Technician;Current Employee;Good Company;"Benefits are great here, good pay
";"Corporate at times of need
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-24;Fleet Engineer;Current Employee, more than 1 year;Great people held down by poor organization;"+ Some of the people are just brilliant and experts in their fields + Everyone works pretty collaboratively (except for between a tier 2 business, see below) + The work can be pretty fulfilling depending on what you're working on + They have permissive leave which is great to take advantage of the summer and skiing in the winter.
";"- No raises in 2 years for the entire business is unsustainable, along with very little acknowledgement by management that it is a problem - Leadership communication is poor. Imagine your favorite politician ducking a debate question and you have what it looks like when upper leadership answers a question in an ""all-hands"" meeting. - There are many legacy systems that can be extremely hampering to innovation and positive change. - Organizational change seems to comes in waves where we swing from one mode of operation and then back to the next every time upper management changes every 12-18 months. This erodes standard ways of doing work and causes people to fall back on informal channels to get work done (which falls apart completely when someone leaves or changes roles). - Specific issue aligning a tier 2 business that is owned by GE but operates as if its independent. Their goals seem completely divorced from the GE units they operate with leading to lost opportunities for GE as a whole.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-10-23;GE DTLP;Current Employee;Review;"Work life balance, time off
";"Work not very interesting at times
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-19;Manager;Former Employee, more than 3 years;Getting better at focusing on core business;"Still attract great talents. Compensation is fair. Coworkers are nice and very smart.
";"It takes time to make minor decisions. People seem less confident about the future of the company.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-21;Assembly Worker;Current Employee;Love it;"Early shifts help getting the day over faster
";"They will work you long hours
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-20;Desktop Support;Former Employee, more than 1 year;GE Review;"40 hr work weeks, which is great but they offered no overtime
";"Just work hour work weeks, no overtime.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-20;Mechanical Design Engineer;Current Employee;Great company to work;"Great culture , environment and values
";"Promotions are structured and salaries.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-18;Sourcing Specialist;Current Employee, more than 1 year;Decent Place to Work;"Pay is fair and people are nice.
";"There is a lack of structure.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-18;Retired Engineer;Former Employee;Great company to work for;"Salary and benefits are very competitive
";"Expect long hours and hard work
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-18;Mechanical Engineer;Current Employee;good;"good work life balance during the year
";"Hard boss man difficult assignment
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-16;Project Engineer;Former Employee, more than 1 year;Project Engineer;"Great people and good experience
";"Nothing really. The food in the cafeteria could be better.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-10;District Sales Manager;Former Employee, more than 10 years;Not the same company;"Great culture and great people
";"Management could be over bearing and not listen. A lot of politics
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-12;Project Manager;Former Employee;Reorganization;"Company going through a re-org, but it's not a bad thing. Management is doing what they can to keep employees informed
";"C Suite doesn't always share with the rest of the organization, can lead to confusion
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-06;Anonymous;Current Employee, more than 8 years;Industry leading technology and extreme customer focus;"Customers rightfully trust GE's brand, as we work hard to stay on the bleeding edge of our transformational technology.
";"All large companies have their fair share of bureaucracy, and GE is no different. However, the size of GE allows for some amazing technology development roadmaps.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-23;Finance Analyst;Former Employee;Legacy business through and through;"Great people, business tumult is good opportunity to make an impact
";"Business is in secular decline and will likely go bankrupt in the next ten years
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-15;Analyst;Former Employee, more than 1 year;Good whilst it lasted;"Flexible working Good teammates Social events
";"Lack of variety of work
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-14;NPI Planner;Former Employee, more than 8 years;Fantastic People;"Fantastic people to work with and grow with.
";"none that I can see
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-14;Anonymous;Former Employee, more than 10 years;Good Company;"Solid company with strong leadership.
";"Shifts in strategy took time to hold.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-19;Senior Accountant;Current Employee, more than 5 years;Really depends on manager;"The corporate culture is starting to shift which is great to see.
";"Some managers are still very entrenched in the old tactics of hoarding information, and micromanaging. So depending on your direct boss, you can have a very different experience from colleagues.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-04;Field Engineer;Current Employee, more than 8 years;Great company;"Competitive pay and benefits. Good room for growth and overall a rapidly improving outlook
";"Big company good or bad
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-07;Director;Current Employee, more than 3 years;Great company;"Great company to be a part of, outstanding culture, feels and is indeed very large and global, great reasonable leadership, relatively competitive pay, feels much less stressful than retail or telecom businesses as large pieces of business having slowdown during weekends and major holidays. The company continues its path of continuous improvement, refining its focus on the top lines of business, etc.
";"For the SW-Dev processionals, it is probably good to know that the company is actually industrial rather than SW-development-oriented, more of an Operational excellence focus. There are islands of excellent SW Development teams and to be a part of those is really fun but those are quite segregated and the leadership might not be in the same mindset. Hence, if your passion is in SW development, you may be better off focusing on an SW-product-driven company.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-09-19;Operations Engineer;Former Employee, more than 3 years;Still one of the greatest large companies to work for;"Large company. Lots of learning resources to grow professionally. Emphasis on teaming and individual development. Lots of internal opportunities.
";"Quite a large place. You can get lost and bogged down in the interoperation loops of the organization. Cronyism is almost encouraged.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-13;Senior Human Resources Business Partner;Former Employee, more than 8 years;Great place to work;"Learned best in class practices. Worked with awesome co-workers and leaders. Strong belief in employee development and investing in employees to be the best they can be.
";"Large employers, sometimes the good employees are over looked and passed on because of their ""run way""
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-11;"""Second Shift"" Warehouse Associate";Former Employee;Great;"Good money for the job
";"Lots of weekends and work
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-26;Senior Staff Data Scientist;Former Employee, more than 8 years;good coworker;"plenty of time to do self learning
";"too many people do nothing E band managers, many have no idea what the new world is and used old style like firing, threaten etc method to manage team and end up all the team gone
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-06;Manager;Current Employee;GE is a great place to work;"flexible, growing company with good benefits and job security
";"aerospace market can be a bit whipsaw for some people
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-10;Project Manager;Former Employee, less than 1 year;Good;"Integrity, calm environment, good attitude and respecttable.
";"Not really come across any…..
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-10;Anonymous;Former Employee;salary;"high performing employees work there
";"poor salary. not well paid
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-05;Engineering Co-Op;Former Employee;GE engineering Co-op review;"Great work environment, very learning driven. Everyone is very passionate about what they do!
";"Sometimes slightly disorganized but with understandable circumstances
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-03;Anonymous;Former Employee;Good Place For Personal & Professional Growth;"- Diversity in work assigned
";"- (not really a con if you can navigate well): confusion in org reporting
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-29;Field Service Technician;Former Employee, more than 1 year;Great Company to work for;"Very professional. Opportunities to learn
";"Not enough overtime consistently in my opinion.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-01;Technical Leader;Former Employee, more than 3 years;good;"good place to work if you like working
";"bad place to work if you don't like working
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-18;Mechanical Engineer;Former Employee, more than 1 year;Poor Company Culture;"Good Salary and benefits, and interesting projects
";"negative company culture, and poor mentorship
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-23;Program Manager;Former Employee, more than 5 years;Great people, Great Management School, Awesome products;"The people, the leaders, and the work-life balance
";"Growth opportunities are scarce. Internal tools are sometimes obsolete.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-14;Program Manager;Former Employee, more than 5 years;I wish GE future success;"Significant depth of technical resources
";"The volatility of the company as related to continued investor support
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-15;Financial Management Program (FMP);Former Employee;Great learning experience;"Great people working for the company, exposure to lots of different business areas, and opportunities to learn
";"Company could be more innovative
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-19;Manager;Current Employee, more than 3 years;Not good;"Not good enought, but not too bad
";"Hope it will be better
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-30;Assembly Engineer;Former Employee, more than 3 years;You're on your own;"Pay is competitive. Very loose and casual work environment. Awesome learning experience to work with Union employees.
";"Job security is based solely on a seniority/buddy merit system instead of performance. Performance can burn you out and will only make your daily job easier via respect from Union mechanics who can make your job easy or impossible. It's a two sided place. Union and Salary. Both sides eat their own based on personality or likeability. It's a highschool with immature baby boomers manipulating their way to a pension. The lack of training and accountability makes it an interesting social gathering.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-01;Anonymous;Former Employee;Digital;"opportunity to meeti talents and customers
";"opportunity for more stability and flexibility to work remotely
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-29;Anonymous;Current Employee;Great places to work;"good company to work for. great work life balance and culture
";"sometimes slow to adopt new technology.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-21;Team Leader;Former Employee, more than 5 years;Crap;"None that I can think of unless you like living at work
";"Lmao take your pick. From management to craft workers
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-29;Psychologist;Current Employee;Very good;"Very good opening salary at first
";"Lots of hours to succeed in field
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-19;Associate Financial Analyst;Former Employee;GE;"cool products and nice people
";"too many engineers, boring work
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-23;Principal Mechanical Engineer;Current Employee, less than 1 year;New hire opinion;"High safety focused culture Management is very responsive and complementary of quality work Management responsive to improvement input
";"Benefit selection less and contribution matching lower compared to companies of similar size
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-30;Chief Operating Officer;Current Employee;Great!;"Love it. Good working conditions
";"None. They are great to work for
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-14;Anonymous;Former Employee;Proposals;"Good brand for resume, big internal network.
";"Way too vertical of organization. Your advancement is pre-ordained when you join based on if you came in on a leadership program.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-09-28;Senior Finance Manager;Former Employee, more than 5 years;good place low benefits;"stability, lots of internal opportunities
";"low pay and benefits, no pension, small variable bonus
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-28;Finance;Former Employee, more than 3 years;Great place to work;"Lot of opportunity to grow and learn.
";"Not as organized as expected
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-29;Anonymous;Former Employee;Global conglomerate;"Outstanding history of management excellence
";"Struggling to regain former glory
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-27;Human Resources Benefit Analyst;Former Employee;Positive Outlook;"Great culture and positive outlook.
";"Sometimes there would be long work hours.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-16;CNC Machinist;Former Employee;Good place;"Culture is good for employees
";"Lay offs are hard to avoid
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-23;Production Manager;Current Employee, more than 8 years;Great Company;"Dynamic work environment and great team
";"Working a lot of hours
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-22;Operations Manager;Former Employee;Na;"Good people and overall good environment
";"Big corporate, very challenging to get promoted
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-23;Warehouse Worker;Current Employee, less than 1 year;Work;"Great work environment and work place
";"Pay isn’t the best depending on role
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-14;Accountant;Current Employee;Turning the corner;"-Learn from talented and experienced professionals -Transition to a lean culture / continuous improvement mindset should improve jobs over time -Lots of opportunity
";"Depends on specific role / business / location
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
