date;employee_title;employee_status;review_title;pros;cons
2021-10-21;Safety Professional;Current Employee, more than 5 years;Great place to work;"They take care of their employees especially during emergencies
";"Becoming more focused on cost and budget
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-20;Senior Project Engineer;Former Employee, more than 10 years;Good company with bad culture;"Great pay and benefits compared to US average, but on the low side for Oil & Gas. Enjoyed my team and most people I worked with. There are lots of really great talented people there. Your boss will make or break your experience. Lots of opportunities for advancement and locations all over the county if you're willing to move.
";"The culture is in the gutter. Used to be a great company and I always loved working for them, but as Marathon grew over the years they turned away from the ""family values and employees first"" mentality to very strictly shareholders first and it became evident with management and every single decision made. Upper management is abrasively conservative and responded poorly to the market and employee needs post Covid.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-20;Advanced Business Analyst;Current Employee, more than 5 years;Good Company;"Coworkers, Benefits, Challenging Work Environment
";"Old world culture, job advancement, employee development. Annual Goals are primarily dictated to the individual which lessens personal engagement. Still very much a ""Command and Control"" environment in some areas. If you try to talk candidly to leadership, you can get chastised for not following proper chain of command.
Advice to Management
Try to make it into the 21st century. You can still have a successful company with open communication at all levels -- leaders do not have all of the answers, especially as they get more removed from the actual work. Also allowing more personal involvement in annual goal setting would add meaning to performance appraisals and help drive development discussions.
2 people found this review helpful
Helpful
Share
Repor"
2021-10-11;Trader;Current Employee;Great Benefits;"Great benefits and good people
";"have started to offer flex schedules as trial period which is a positive but subject to change
Be the first to find this review helpful
Helpful
Share
Repor"
2021-06-27;Pipeline Project Engineer;Former Employee, more than 3 years;Very generous and professionally run company;"Lots of training to management and it shows. There is a culture of respect and professionalism in every area of the company. Benefits and pay are generous, typical with the industry. If you are not familiar with oil and gas, you will make more than you will in most industries.
";"Typical large corporation with bloated bureaucracy and slow-moving parts. The organization is so big, however, that this ironically varies depending on where you are. 

Typical virtue signaling when it comes to the issue of the day instead of a principled corporate culture that is not moved by trending controversies.
Advice to Management
This is certainly not directed at Marathon alone (nearly every big company is similar), but it is scary as an employee to see a company cave into political pressure every time something new comes up since you never know what is coming next in terms of personnel training and virtue signaling, and what may or may not be politically correct on any given day. My advice would be to ignore what's in the news and just focus on running an effective company that serves the world's energy needs.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-09;Anonymous;Former Employee;Not the company it once was;"Competitive pay, including healthcare benefits. Good vacation for experienced employees. Supportive of attempts to move within the company.
";"Very conservative, old-school company. The corporate headquarters is located in Findlay, Ohio, a fairly long commute to larger metropolitan areas. No or minimal work from home was allowed until the COVID-19 pandemic, though employees are back in the office now that the pandemic is perceived as waning. Little diversity in the company, particularly in the upper ranks. The corporate officers, board, and upper management are largely white and male. Exorbitant pay for upper management and officers. Last year, the company laid off 9% of its workforce despite taking $2.1 billion in federal tax benefits meant to cushion the pandemic’s blow to the economy. At the same time, dividends were awarded to shareholders. Minimal meaningful training was provided past initial on-boarding.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-04;Deckhand;Current Employee, less than 1 year;Awesome company to work for.;"Tons of great benefits and marine division is 28 days on 28 off.
";"You’re exposed to extreme weather at times.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-30;Foreman;Current Employee, more than 10 years;Foreman;"Oil and Gas pays better than most industries.

There are some cushy jobs if you can get in the right one.
";"Work life balance can be awful depending on your position. 

Compensation between different positions makes no sense

Lots of the locations are awful and work at home is very rare. The company is not progressive at all so any changes will be very slow to happen. 

Dying industry.
Advice to Management
Recognize it is 2021 and times have changed. You and the company also need to change.
1 person found this review helpful
Helpful
Share
Repor"
2021-08-17;Site Reliability Engineer;Former Employee, more than 8 years;Reliability Engineer;"The pay good compared to most other industries, but not better than most other refineries.
";"The nepotism in the company is hard to believe. Most people who get promoted are related to somebody higher up in the company. The company has metrics to hire minorities and discriminates against white males continuously. Marathon people are very arrogant and think Marathon is the best at everything. They cannot provide any type of progression path for employees who aren't in the ""inner circle of nepotism"". They recently had a layoff while concurrently hiring new relatives of employees onsite.
Advice to Management
Learn how to be leaders. Leaders need followers and followers require trust and acts of admiration. Develop your people, so they don't continuously leave. Get rid of your draconian work schedule (5 days x 8 hours) and give your salaried people some flexibility. Allow people who don't want to move some ability to progress in their career. Hire outside of the Marathon family. Look for talent, not relation.
2 people found this review helpful
Helpful
Share
Repor"
2021-09-29;Anonymous;Current Employee, less than 1 year;Competitive refining company with good variety of work locations and roles;"Generous compensation, benefits, engaging work, heavily focused on communication
";"Early career vacation, work flexibility
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-04;Anonymous;Current Employee, more than 3 years;MPC;"Excellent pay/benefits and welcoming coworkers.
";"No cons that stick out.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-30;Pipeline Technician II;Current Employee;Good company;"Reliable, work is sure, it keeps improving
";"Too big, there fore you dont get to know everyone
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-02;Project Engineer;Current Employee, more than 3 years;Great Place;"Benefits, Pay, a lot of travel
";"work life balance is difficult
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-01;Senior Accountant II;Current Employee;A;"Good wages and benefits and bonuses
";"Long hours work late nights
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-13;Customer Service Representative (CSR);Former Employee, more than 5 years;Bad company to work for;"Some what flexible schedules
Paid vacation time
";"Seniority means nothing here
Have to use PTO when they say 
Raises are a joke
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-04;HES Professional;Current Employee, more than 3 years;MPC Review;"The 401K, great peers, collaborative, slowly developing a one day to work from home.
";"Lack of clear path for career growth, raises not conducive to the market, general job titles, work life balance not the best, thin staff, no flexibility in work schedules, and lack of retention.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-09;Advance Analyst;Current Employee;*;"Tesoro pay and culture along with 1 remote day per week
";"Needs a more diverse culture. So many great skill sets have been lost in San Antonio due to the structure that Marathon has laid out.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-20;Business Development Representative;Former Employee, more than 1 year;Business Development;"Good work culture and great pay.
";"Risk averse in approach. Traditional in-box strategy. Lack leadership development training.
1 person found this review helpful
Helpful
Share
Repor"
2021-09-25;Maintenance Technician;Former Employee, more than 10 years;very good pay but untrustworthy leadership;"good pay and benefits are good.
";"forced overtime, Job security (unless in the union), managers talking about employees behind their back. Maintenance department managers show favoritism to employees that truly do not deserve the promotions that were received. I was told for myself when Marathon repurchased the st Paul park refinery by the HR professionals from corporate that I would qualify for the retirement health benefits at the time they purchased the refinery. 2 years later I was laid off due to covid and corporate restructuring. the severance package was good but not I hit the lottery. but 3 weeks before I was supposed to start my retirement health plan I receive a letter stating what I needed to do to enroll in the program. the next week I receive another letter saying that I do not qualify for the retirement health care program????? i called HR and was basically told to bad. I called and tried to explain what I was told at the transition and that I had 25+ years with the company. My advice is if you ever apply for a job there make sure it's part of the union, its is the only way you'll have any job security and you will also get raises.
Advice to Management
The employees do see all of the mishandling of things that take place in the maintenance department. yet nothing changes, people without the knowledge required are advanced due to being able to BS with the senior management. very poor and unprofessional managerial taking place! example of this during the layoff ""due to covid"" there were about 17 people laid off and a majority of these people were over the age of 50 most with 15+ years of service. I really don't have any idea what there selection process was but the positions that were laid off didn't go away they were just reassigned. from what I have seen Marathon has posted job positions that were supposedly no longer needed during the covid period (which is still here).
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-20;Anonymous;Former Employee, less than 1 year;Idk;"Cool place cool place cool place
";"Not too sure about that
Be the first to find this review helpful
Helpful
Share
Repor"
