date;employee_title;employee_status;review_title;pros;cons
2021-10-19;Nuclear Operator;Current Employee;Great company to work for;"pay, overtime, location is great
";"the plant is closing in three years
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-12;Anonymous;Current Employee;Full of disinterested employees who do the bare minimum;"- Good benefits include 401k match & pension.
";"- Large workload of inefficient processes - 90% of workforce is lazy & disinterested. Don't reply to emails or be productive. Just complete work ""the way it has always been done"" - ineffective, inefficient, low quality, poor documentation, no transparency. Complete bare minimum to not be terminated. Do-Nothing employees are drawn to this company like moths to a flame and the 10% who do want to invoke positive change find themselves bashing their heads against the wall day in, day out. Prepare to send 20 follow up emails & have 7 meetings to get a single thing done, waste of time. - Leadership is full of ""Yes men"" who say whatever makes them look good to executives, then don't follow through. Revolving door of executives. Lots of buzz words about tenacity & positivity & leading with love & being the change, only resulting in more busywork without any results. Re-orgs & rolling out new processes every other year is the norm - always in flux & never at performing point in implementation. - CYA culture, finger pointing, no cross-functional cooperation. - Company promises one thing then reneges, leaving employees left holding the bag.
"
2021-10-24;Attorney;Current Employee, more than 10 years;Tough but fulfilling;"The people are great and have the utmost integrity. The work is interesting, dynamic, and challenging.
";"The hours are long and the pay isn't great (though the benefits are). It is also mentally challenging to try--on a daily basis--overcome a reputation that precedes and pervades everything that you do.
"
2021-09-23;Estimating supervisor;Current Employee, more than 10 years;Great Employer;"Excellent benefits and pay. Many opportunities for growth and development. You can live almost anywhere in California. PG&E is a very large employer and has many different areas to work within the company. You can maintain seniority and try very different areas of the business.
";"Media and political criticism for how PG&E has historically been managed bring morale down. There are many natural disasters and that may require longer work times for power restoration depending what department you work in.
"
2021-10-10;Senior Change Manager;Former Employee, less than 1 year;Inauthentic leadership;"Opportunities to work with very dedicated and smart team members
";"Inauthentic leadership: In CEO all hands meeting, a team member who passed away was mentioned. A moment of silence was requested--it was seconds. This left a very unsympathetic tenor as the rest of the meeting began. A diversity dialogue between leaders was even worse. So much so that I left within a couple of weeks.
"
2021-10-20;Anonymous;Former Employee;Good company, good people;"Good pay, good benefit and people.
";"Inconsistency in the system, poor management.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-16;Clerk;Former Employee, more than 10 years;Miss the old company;"Great pay, good benefits, unionized.
";"Ran by idiots and reprobates now, was a great company
"
2021-10-18;Anonymous;Former Employee, more than 3 years;Corporate desk job with occasionally friendly people;- 401K Matching - Friendly people - ;"stent Hours
Cons
- Poor Morale - Waterfall Structure - Strong traditional corporate
"
2021-10-19;Estimator;Current Employee;workplace;"Fun place to work at
";"No complaints at all so far
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-15;Senior IT Business Analyst;Current Employee, more than 5 years;Great company with great benefits;"great benefits: 401K, pension, health, dental, vision, accrual-based time-off
";"work can be stressful with rapid climate change and negative media attention
"
