date;employee_title;employee_status;review_title;pros;cons
2021-02-20;Senior Pipeline Controller;Former Employee, more than 10 years;Great Company;"They have a Great Benefits Package
";"No downside to working at Valero
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-06;Marketer;Former Employee, more than 1 year;Security;"They take good care of their employees
";"There are no cons thete
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-17;Anonymous;Former Employee, more than 10 years;Workplace culture has gotten worse;"Valero as a corporation provides good compensation for their employees. Valero offers good benefits, even a pension plan.
";"Site Leadership at the St. Charles site has progressively gotten worse. As Valero replaced key members of the Leadership Team, the culture has taken a turn for the worse. No alternative work schedule.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-22;Shift Foreman;Current Employee, more than 3 years;Excellant company;"Excellant working atmosphere with leadership team
";"Shift foreman work too much overtime at this site.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-20;Steward;Current Employee;Great;"Good company to work for
";"No cons to be offered
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-12;Accountant;Current Employee, more than 3 years;"Good pay; hard to move up";"Good pay, can do better.
";"Hard to move up, very competitive!
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-06;Cashier/Merchandiser;Former Employee, more than 1 year;Cashier manager;"Pretty easy job to handle.
";"The customers end up being crackheads
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-07;Engineer;Former Employee;Ajinomoto Review;"Good people at the facilty
";"No cons to speak of
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-03;Anonymous;Former Employee, less than 1 year;Good experience;"The pay and benefits were good.
";"Intern program could have provided more guidance.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-03;Terminal Operator;Former Employee;Good Company;"Good all around company and benefits
";"Nothing negative during time with them
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-02;Operatior;Current Employee, more than 1 year;Valero operations;"Good people to work with
";"Low pay for swing shift
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-29;Accounting Coordinator;Current Employee, more than 1 year;Great Company;"Very flexible hours, along with a great atmosphere.
";"Limited verticality in most positions.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-28;Relocations Associate;Current Employee, more than 1 year;Great company;"Lots of amazing people work here. Networking is great
";"Lower level leadership needs more guidance
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-15;Operations;Current Employee;Process Operator;"Easy work, decent pay, good management
";"No off time, covering vacations will have you working 7+ 12hr shifts in a row
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-27;Assistant Store Manager;Former Employee, more than 1 year;Good;"Money, is OK for duties
";"Time is a lot for family
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-23;Anonymous;Current Employee, more than 1 year;Great company;"Great benefits and compensation. Good opportunities for growth and development.
";"Busy work/life balance. Sometimes hard to take off work.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-13;Cashier;Former Employee, more than 1 year;Customer service;"A good company to work and nice people
";"bad health insurance and didn't like it
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-17;Executive Administrative Assistant;Current Employee, less than 1 year;Excited to be a Valero Employee;"Starting with the New Hire Orientation day to all the personalized welcome letters I received from each dept/community, definitely showcased the welcome culture Valero has.
";"I've been working at Valero as a contractor for 10 months and now as a full-time employee and have yet to experience a downside. Everyone has been extremely welcoming.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-15;Shipping and Receiving Operator;Current Employee, more than 1 year;A Good Job;"Pay, benefits, and bonuses are good
";"Work alternating weekends and holidays if it falls on your shift
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-15;Associate Mechanical Engineer;Current Employee;Very solid;"Lots of big challenges everyday
";"Sometimes over worked. Always on calling
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-02;Wholesale Account Manager;Former Employee, more than 8 years;Going down hill;"Good pay and benefits. Nice campus. Good coworkers
";"Wholesale management is really bad. Lots of big egos in management positions only interested in careers.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
