date;employee_title;employee_status;review_title;pros;cons
2021-09-21;Project Manager;Current Employee, more than 5 years;Good company;"Good benefits, competitive salary, safety focused, advancement opportunities
";"Long hours, some overnight travel
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-17;Environmental Specialist I;Former Employee, more than 1 year;Not bad for entry level, would be bad for long term;"You learn a ton when you're starting out, benefits I remember being somewhat decent, relative stability in this field, safety was a very high priority.
";"Tasks were extremely tedious, lots of down time (could be a good thing and a bad thing), moving up in the company takes forever, mandatory temp period that they say only last 6 months but regularly lasts longer than that, customers that you work for can be extremely demanding, management said they would fire us if we discussed salaries with our coworkers (which is extremely illegal), pay was pretty pathetic for the Boston/Cambridge area, regularly have to work with toxic/hazardous chemicals
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-13;Environmental Specialist;Former Employee;Good;"Freedom in the work day
";"Handling hazardous waste, heavy lifting
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-04;Finance Manager;Former Employee, more than 3 years;Veolia offers solid finance opportunities;"- Colleagues on the team and in adjacent teams are smart, diligent, and thorough in their approach to work - Teams work together to solve problems - Quality of accounting and financial reporting is high - Management team is experienced and care about the direction of the company
";"- Mistakes in the system can take a long time to be addressed and fixed - There doesn't seem to be a career path upward, above the managerial level, for local staff - Compensation is on the low end; it is a low-growth utility company
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-04;Contracts Administrator;Former Employee;Loved the team;"Hard working people, nice team, friendly management
";"Some departments could use more structure in their processes
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-31;Office Administrator;Former Employee;Purchasing system incredibly slow and bureaucratic;"Pay was good and the 401k program was good.
";"My job required purchasing supplies and equipment on short notice. There was no time to go through the tedious process to have accounting generate purchase orders and I wasn't allowed to use a company credit card. So I had to put 4k-6,000 dollars on my personal credit card each month to pay for needed equipment and supplies. Each month I was fearful that my expense reports would be delayed and I would not be able to pay my personal bills and rent. Extremely stressful.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-04;Wastewater Operator;Current Employee;does not care about the empleeyes lower down;"its a job that pays money
";"the pay is not as high as it should be. the respect from managers is not there. bonuses are pathetic along with barley getting a raise to account for inflation. They do not do a good job filling empty positions nor keeping current workers.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-24;Technician;Current Employee;Not bad;"Lots of work and hrs available.
";"Turnover still too high for consistency.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-14;Business Development Manager;Current Employee;Good workspace;"Great working environment and location
";"Can not identify any cons.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-20;Anonymous;Former Employee, more than 8 years;Utility company;"It is a Solid company with stable business in North America. Good practices related to keeping people safe as with most other large corporates.
";"The company is definitely risk adverse and tends to be bureaucratic. No one wants to say it but it is effectively a utility minded organization.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
