date;employee_title;employee_status;review_title;pros;cons
2021-10-21;Team Leader;Current Employee;solid company;"rewarding work with lots of growth
";"Challenging work loads but great training
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-23;Resource Technician II;Current Employee, more than 5 years;Company ok;"Supplied Brand new vehicle. Company card for all travel and logging needs. Uniforms, winter gear , PPE , boots and tools all supplied . Very safe safety culture.
";"Rare to moving up to management. 100 percent travel. Working in Different weather environments throughout United States
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-13;Engineer;Current Employee, more than 1 year;Great compensation, far from headquarters;"Compensation, benefits are very good. Many talented people. Work life balance is good. Open to new ideas, but sometimes difficult to execute because of few resources, lack of time.
";"Volume of projects makes is difficult to focus on quality. Some customers are very demanding. Complex and segregated technology and tools. Not for everyone.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-09-21;NDT Inspector Level II;Former Employee;Good company;"Excellent job and great work
";"None to speak of or anything
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-01;Senior Electrical Engineer;Former Employee, more than 8 years;Great culture with great benefits;"Vestas is an industry leader in wind technology which always keeps the work interesting. The take care of their employees with better than average benefits and social events.
";"Wind is a fluctuating market and you are never sure what adjustments are needed in the future.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-08;Wind Turbine Technician;Current Employee, more than 1 year;Good company;"Great benefits compared to other companies such as 401 and health benefits. Easy to move up to higher positions and great management.
";"Not enough pay compared to other companies.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-22;Senior Purchaser;Current Employee, more than 10 years;Monetary benefits need to be improved in order to retain employees;"most of the employees are amazing to work with. They are family
";"too many overpaid managers and not enough people to do the work required
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-18;Wind Technician II;Current Employee, more than 3 years;Great team;"The tech/peer relationship is awesome, there are some really great guys that work for vestas anywhere you go.
";"Starting pay and training methods for newer techs could be improved.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-24;Operations Management Trainee;Former Employee;Excellent place to work;"Leadership and customer service are excellent
";"Not a lot of opportunities to improve personal skills
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-23;Sales Director;Former Employee, more than 1 year;Great progressive company;"Excellent company to work for
";"Too corporate and lots of red tape
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-10;Site Manager;Current Employee, more than 3 years;its a job;"lots of positions and locations
";"Work/Life balance is not good
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-23;Logistics;Former Employee, more than 8 years;Over worked and low wages;"Passion for the product and the team.
";"Long hours and demanding management. Reviews and salary benchmark are usually pushed off to the side.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-06-29;Quality Director;Current Employee;Great technology;"Flexibility, salary, environment friendly, well recognized brand
";"A lot of management and strategy change
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-11;Technical Sales Representative;Former Employee, more than 5 years;Cool firm;"Vestas Wind Systems A/S is a top wind turbine manufacturer. It is headquartered in Denmark. This means the culture of the firm is very Danish style - good benefits, reasonable working hours
";"The US units are sales business units. There's limited decision can be made from the sale unit. You will need to wait for headquarter to make major decisions.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-29;Production Worker;Former Employee, more than 3 years;Good company, Bad management;"Great co workers and benefits.
";"Poor leadership and training for staff.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-02;Anonymous;Current Employee, less than 1 year;Vestas;"Intelligent and hardworking coworkers. People like to challenge themselves
";"A bit unorganized. Inter departmental communications can be improved
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
