Company;URL;Latest review
Aramco;https://www.glassdoor.com/Reviews/Saudi-Aramco-Reviews-E7712.htm;2021-10-22
BP;https://www.glassdoor.com/Reviews/BP-Reviews-E9011.htm;2021-10-16
Chevron;https://www.glassdoor.com/Reviews/Chevron-Reviews-E13524.htm;2021-10-15
ConocoPhillips;https://www.glassdoor.com/Reviews/ConocoPhillips-Reviews-E14933.htm;2021-10-26
DTE;https://www.glassdoor.com/Reviews/DTE-Energy-Reviews-E199.htm;2021-10-20
Duke Energy;https://www.glassdoor.com/Overview/Working-at-Duke-Energy-EI_IE211.11,22.htm;2021-10-24
Enterprise Products;https://www.glassdoor.com/Reviews/Enterprise-Products-Reviews-E8329.htm;2021-10-22
General Electric;https://www.glassdoor.com/Reviews/GE-Reviews-E277.htm;2021-10-23
Marathon;https://www.glassdoor.com/Reviews/Marathon-Petroleum-Reviews-E7657.htm;2021-10-21
PG&E;https://www.glassdoor.com/Reviews/Pacific-Gas-and-Electric-Reviews-E15208.htm;2021-10-24
Phillips 66;https://www.glassdoor.com/Reviews/Phillips-66-Reviews-E498821.htm;2021-10-23
Schlumberger;https://www.glassdoor.com/Reviews/Schlumberger-Reviews-E588.htm;2021-10-22
Shell;https://www.glassdoor.com/Reviews/Shell-Reviews-E5833.htm;2021-10-23
Valero Energy;https://www.glassdoor.com/Reviews/Valero-Energy-Reviews-E704.htm;2021-10-22
Veolia;https://www.glassdoor.com/Reviews/Veolia-Reviews-E20114.htm;2021-10-13
Vestas;https://www.glassdoor.com/Reviews/Vestas-Wind-Systems-Reviews-E26454.htm;2021-10-23
