date;employee_title;employee_status;review_title;pros;cons
2021-10-15;Operator;Current Employee;Great place to work;"Because of the work culture
";"Swing shift and extended work hours
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-11;Process Engineer;Current Employee, more than 8 years;Great Compnay;"Inclusive and diverse company! Great work and life balance
";"I don't have nothing to share.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-10;Team Member;Former Employee, less than 1 year;Excellent;"Great job, excellent crew and perks. I miss it.
";"It was the third best job I ever had.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-06;Reliability Engineer;Current Employee;Great Place to Work;"Excellent work life balance Very diverse and inclusive work force High quality performance is encouraged and rewarded
";"Promotions can be slow moving
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-06;Sales Associate/Cashier;Current Employee;It’s cool Ig;"Good pay Time off Good customers I don’t know what else
";"Bad managers Horrible coworkers Dirty all the time
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-04;Engineer;Former Employee, more than 5 years;The company does great work.;"Get the opportunity to interface with many different groups/teams.
";"Sometimes projects move slower than you would like.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-01;Operations;Current Employee;Salary;"Security, great pay and benefits.
";"I can't complain. Lucky to earn what I do.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-14;Human Resources Business Partner;Current Employee;Growing Pains;"Career opportunities if you're mobile, good pay and benefits
";"overworked, transition to new structure is taking way longer than expected causing long hours and frustration
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-14;Chevron IT Professional Intern;Former Employee, less than 1 year;Intern;"High paying pay and nice coworkers
";"Boring Not what I wanted to do
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-29;Process Applications Engineer;Current Employee, more than 5 years;Good place to work;"Good benefits, great colleagues , collaborative atmosphere slow
";"bureaucracy, slow to adopt new technology
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-13;Government Relations;Former Employee;Good people, tough industry;"Big organization with a lot of perks
";"O&G is volatile and corporate structure changes all the time
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-27;I%26E Technician;Current Employee, more than 3 years;Great;"Great company to work for
";"No cons that I can think of
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-12;Machine Learning Engineer;Current Employee, more than 1 year;Chevron Review;"Work-life balance. Impactful projects. Great colleagues.
";"Big company with lots of red tape. Can sometimes be monotonous.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-08;Merchandiser Supervisor;Current Employee, more than 8 years;Chevron Review;"Compensation, Benefits, Job security, Productivity, Paid time off
";"Career opportunities, management, Work/Life balance, Job Advancement, Strict policies
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-07;Process Operator;Current Employee, more than 5 years;Great;"Great hours during the shift
";"Long hours during the shift
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-22;Cashier;Current Employee, less than 1 year;Awesome;"Great co workers Family oriented Work/homelife balance
";"Pay is low Management is a little hectic Politics of being on tribal land
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-22;Change Management and Communications;Former Employee, more than 8 years;Great company and culture;"Leadership is very accountable, and excellent communication down through the ranks. They have a strong safety culture which is lauded and respected through Operational tenets. Overall a well managed company.
";"At times there are re-orgs and they make severe changes throughout the organization, which can feel uneasy if you are unsure as to where your org / or role will land. As well, hard to say what their long game is with concern to reducing fossil fuels and climate change.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-06;Engineering Manager;Former Employee;Fantastic opportunities for leadership development of graduate hires;"Strong international partners and industry best technology. Career planning and development focused. Outstanding pay and benefits.
";"Bureaucratic standardization to corporate center. Insider, robotic culture. General Manager level is made exclusively from people who have never worked at another company during long careers, thus specific leadership style highly valued.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-21;Consultant, Business Project Manager;Former Employee;Chevron;;"ltant, Business Project Manager in Houston, TX
Recommend
CEO Approval
Business Outlook
Pros
My Chevron career was exceptional - building relationships, aligning, inspiring, and leading high performance teams.
Cons
Not really a con per se as I represent this to all my mentees at any company - as an employee, one must understand that s/he owns the career journey and making it happen - it's not up to the company.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-05;Commodity Risk Analyst;Former Employee;Chevron;"Good benefits, work and life balance
";"Huge company more difficult to move up the career ladder
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-01;Cashier;Former Employee, less than 1 year;"socialize with the customers; also taking care of they're needs when needed.";"Always an on going activity. If you like multitasking this is the job for you. Slow when winter comes, but very on going when summer comes around.
";"Some of the bosses are unfair to others. If you keep it up front they do not like that. That's what I did and now I am unemployed.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-15;Project Manager;Current Employee, more than 10 years;Work life balance;"Every other Friday off Remote work Monday and Fridays benefits
";"New hires only 2 weeks of vacation
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-15;Anonymous;Former Employee, more than 8 years;Great company;"Great company who takes care of their employees.
";"Large company, so lots of policy and processes that can make easy things difficult.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-30;Human Resources;Current Employee, less than 1 year;summary;"culture, people, development, challenging assignments
";"work life balance and silos
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-15;Engineer;Former Employee;Horizons Engineer;"-good company culture -growth mindset mentality
";"-higher ups don't communicate to staff enough
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-15;Finance Manager;Current Employee;Great company;"Great company with great management
";"No issues with the company
Be the first to find this review helpful
Helpful
Share
Repor"
