ID,Initial_ID,cons,insurance,safety,balance,retirement,culture,racism,sexism,ageism,benefits,opportunities,privacy,resources
5134,732,Work/Life balance can be challenging. You won't always have a strong say in which location you go to for a rotation.. Verify your email to continue reading or Resend email. Be the first to find this review helpful. Helpful. Share. Repor,0,0,1,0,0,0,0,0,0,0,0,0
5132,730,Uncertainty Shrinking company Opportunities within are few Is now the “new GE” Shrinking benefits. Verify your email to continue reading or Resend email. Be the first to find this review helpful. Helpful. Share. Repor,0,0,0,0,0,0,0,0,1,1,0,1
5126,724,"Flat organization structure in certain divisions, traditional growth path for career. Verify your email to continue reading or Resend email. Be the first to find this review helpful. Helpful. Share. Repor",0,0,0,0,0,0,0,0,0,1,0,0
5122,720,"Continuous downsizing, lack of career path.. Verify your email to continue reading or Resend email. Be the first to find this review helpful. Helpful. Share. Repor",0,0,0,0,0,0,0,0,0,0,0,0
5114,712,Air quality and carpet was an odd color. Verify your email to continue reading or Resend email. Be the first to find this review helpful. Helpful. Share. Repor,0,0,0,0,0,0,0,0,0,0,0,0
5100,698,"Salary, difficult for private life. Be the first to find this review helpful. Helpful. Share. Repor",0,0,0,0,0,0,0,0,1,0,1,0
5233,831,Place is unsafe and cheap. Verify your email to continue reading or Resend email. Be the first to find this review helpful. Helpful. Share. Repor,0,1,0,0,0,0,0,0,0,0,0,0
5091,689,Power market is weak at the moment limiting growth and career advancement.. Verify your email to continue reading or Resend email. Be the first to find this review helpful. Helpful. Share. Repor,0,0,0,0,0,0,0,0,0,1,0,0
5088,686,"Create too much work and rework for ourselves, layoffs, healthcare costs.. Verify your email to continue reading or Resend email. Be the first to find this review helpful. Helpful. Share. Repor",1,0,0,0,0,0,0,0,0,0,0,0
5062,660,"- Struggling business in past several years ... High amount of structural issues (e.g. Pension, Insurance, etc.). Verify your email to continue reading or Resend email. Be the first to find this review helpful. Helpful. Share. Repor",1,0,0,0,0,0,0,0,0,0,0,0
5054,652,No life work balance. Hiring and salary freeze.. Be the first to find this review helpful. Helpful. Share. Repor,0,0,0,0,0,0,0,0,1,0,0,0
5053,651,Don't really care about the employees. Be the first to find this review helpful. Helpful. Share. Repor,0,0,0,0,0,0,0,0,0,0,0,0
5051,649,"At times, the re-organizations / changes in stragegy have stranded quality employees. It seems Culp now has a concrete strategy, so hoping this is lessened.. Verify your email to continue reading or Resend email. Be the first to find this review helpful. Helpful. Share. Repor",0,0,0,0,0,0,0,1,0,0,0,0
5046,644,Work life balance can be a bit of an issue sometimes... Be the first to find this review helpful. Helpful. Share. Repor,0,0,1,0,0,0,0,0,0,0,0,0
5027,625,"Layoffs and company reorganizing, they care a lot about lean and cutting cost where they can, sometimes in people.. Verify your email to continue reading or Resend email. Be the first to find this review helpful. Helpful. Share. Repor",0,0,0,0,1,0,0,0,0,0,0,0
4994,592,Work life balance can be challenging. Verify your email to continue reading or Resend email. Be the first to find this review helpful. Helpful. Share. Repor,0,0,1,0,0,0,0,0,0,0,0,0
4974,572,Continually changing organization structures and no real opportunities for remote employees.. Verify your email to continue reading or Resend email. Be the first to find this review helpful. Helpful. Share. Repor,0,0,0,0,0,0,0,0,0,1,0,0
4962,560,Very high demand and not enough resources. Verify your email to continue reading or Resend email. Be the first to find this review helpful. Helpful. Share. Repor,0,0,0,0,0,0,0,0,0,0,0,1
5212,810,Work/life balance was not always balanced; worked almost 50+ hours a week. Verify your email to continue reading or Resend email. Be the first to find this review helpful. Helpful. Share. Repor,0,0,1,0,0,0,0,0,0,0,0,0
5261,859,Management team may not have the ability to deal with potentially insurmountable financial challenges. Verify your email to continue reading or Resend email. Be the first to find this review helpful. Helpful. Share. Report. GE Response. Social Media Consultant. Thanks for the recommendation,1,0,0,0,0,0,0,1,0,0,0,0
6007,605,generally expats will get little career development other than performing the work they are already good at.. ,0,0,0,0,0,0,0,0,0,0,0,0
5370,968,"no work/life balance, outdated senior leadership approach in regards to schedule flexibility, remote working, career movement. Verify your email to continue reading or Resend email. Be the first to find this review helpful. Helpful. Share. Report. GE Response. Social Media Consultant. Thank you for your recommendation",0,0,1,0,0,0,0,0,0,0,0,0
5433,31,No privacy when it comes to student performance. Instructors can be rude A lot of work to do to keep up with everything. ,0,0,0,0,0,0,0,0,0,0,1,0
5432,30,Limited promotion opportunities. Bureaucracy. Risk-averse culture. ,0,0,0,0,1,0,0,0,0,1,0,0
5427,25,No chance of career growth for expats. ,0,0,0,0,0,0,0,0,0,1,0,0
5424,22,Company politics and unnecessary standards. 1 person found this review helpful. Helpful. Share. Repor,0,0,0,0,0,0,0,0,0,0,0,0
5404,2,The company isn't so bad but benefits are slowly being eroded away. Living in Saudi is the biggest challenge if you're from the west especially post-covid with health passports.. ,1,0,0,0,0,0,0,0,1,0,0,1
5402,0,"Somewhat suppressive , limited in personal development and lifestyle choices. ",0,0,0,0,0,0,0,0,0,0,1,0
5400,998,*Work life balance can be an issue during month end closes. ,0,0,1,0,0,0,0,0,0,0,0,0
5395,993,Lack of interest in data/telecommunication industry opportunities.. ,0,0,0,0,0,0,0,0,0,1,0,0
5381,979,"Work life balance ,less salary. Verify your email to continue reading or Resend email. Be the first to find this review helpful. Helpful. Share. Report. GE Response. Social Media Consultant. Sorry to hear this but thanks for sharing",0,0,1,0,0,0,0,0,1,0,0,0
5378,976,"Need leadership to move out of the mess of a conglomerate, they need to spin off healthy company and let go which will not survive. Verify your email to continue reading or Resend email. Be the first to find this review helpful. Helpful. Share. Report. GE Response. Social Media Consultant. Appreciate the recommendation, thank you",1,0,0,0,0,0,0,0,0,0,0,0
5361,959,#NAME?,0,0,0,0,0,0,0,0,0,0,0,0
5264,862,waste of time to work in this company. No career growth.. Be the first to find this review helpful. Helpful. Share. Repor,0,0,0,0,0,0,0,0,0,1,0,0
5333,931,#NAME?,0,0,0,0,0,0,0,0,0,0,0,0
5318,916,Feedback senior management Human Resources. Be the first to find this review helpful. Helpful. Share. Repor,0,0,0,0,0,0,0,1,0,0,0,1
5302,900,Not much opportunity to grow!. Be the first to find this review helpful. Helpful. Share. Report. GE Response. Social Media Consultant. Thanks for sharing,0,0,0,0,0,0,0,0,0,1,0,0
5297,895,Low Salary and no career growth. Be the first to find this review helpful. Helpful. Share. Repor,0,0,0,0,0,0,0,0,1,1,0,0
