ID,Initial_ID,pros,insurance,safety,balance,retirement,culture,racism,sexism,ageism,benefits,opportunities,privacy,resources
5145.0,743.0,Work life balance,0,0,1,0,0,0,0,0,0,0,0,0
5134.0,732.0,Many opportunities off program to explore different areas/fields. Huge amount of experience in 2 years.. ,0,0,0,0,0,0,0,0,0,1,0,0
5132.0,730.0,Flexible Leadership is strong Challenging Learning Opportunities Volunteer Events. ,0,0,1,0,0,0,0,0,0,1,0,1
5126.0,724.0,Collaborative culture,0,0,0,0,1,0,0,0,0,1,0,0
5123.0,721.0,Culture Work ethics technology quality experts. ,0,0,0,0,1,0,0,0,0,0,0,0
5117.0,715.0,There are good career advancement opportunities. ,0,0,0,0,0,0,0,0,0,1,0,0
5106.0,704.0,great company and lots of opportunity. ,0,0,0,0,0,0,0,0,0,1,0,0
5103.0,701.0,Loved working in teams and collaborations.. ,0,0,0,0,1,0,0,0,0,1,0,0
5101.0,699.0,Good pay. Good opportunities for advancement.. ,0,0,0,0,0,0,0,0,1,1,0,0
5099.0,697.0,Great learning opportunities about different processes. ,0,0,0,0,0,0,0,0,0,1,0,1
5082.0,680.0,Flexible hours with opportunity for growth. ,0,0,1,0,0,0,0,0,0,1,0,0
5155.0,753.0,Compensation & Benefits,0,0,0,0,0,0,0,0,1,0,0,1
5079.0,677.0,Resources and benefits were good. ,0,0,0,0,0,0,0,0,1,0,0,1
5073.0,671.0,Access to leadership -Rotational (upwards learning curve) -Good work life balance.,0,0,1,0,0,0,0,0,0,1,0,1
5072.0,670.0,Overall,0,0,0,0,0,0,0,0,0,0,0,0
5070.0,668.0,I had a lot of responsibility and leadership positions. ,0,0,0,0,0,0,0,0,0,1,0,0
5068.0,666.0,Great leadership,0,0,0,0,0,0,0,0,0,0,0,0
5066.0,664.0,Good culture,0,0,0,0,1,0,0,0,0,0,0,0
5065.0,663.0,Great place to grow your career. ,0,0,0,0,0,0,0,0,0,1,0,0
5064.0,662.0,Global engagement,0,0,0,0,0,0,0,1,0,0,0,0
5062.0,660.0,Availability for multiple career opportunities - Availability to travel - Exposure to senior leadership.,0,0,0,0,0,0,0,0,1,1,0,0
5051.0,649.0,This is a company where leaders truly care about your career and goals. It's never hard to find a mentor or C-level leader to spend time with. If you are able to deliver upon your goals,0,0,0,0,1,0,0,0,0,1,0,1
5050.0,648.0,Diverse,0,0,0,0,0,0,0,0,0,0,0,0
5150.0,748.0,Good Health Care Benefits,1,0,0,0,0,0,0,0,1,0,0,1
5157.0,755.0,Opportunities to learn and work with global teams. Fast paced,0,0,0,0,1,0,0,0,0,1,0,1
4831.0,429.0,Work life balance GE culture Competitive benefits. ,0,0,1,0,1,0,0,0,1,0,0,1
5204.0,802.0,The team I worked with was very inclusive and genuinely cared about doing the right thing. Integrity was not just a corporate buzzword. I really enjoyed the teaming methodologies that were used to galvanize the team.. ,0,0,0,0,1,0,0,0,0,1,0,0
5240.0,838.0,Balance in work life style. Great team mates. ,0,0,1,0,1,0,0,0,0,0,0,0
5236.0,834.0,Good culture,0,0,0,0,1,0,0,0,0,0,0,0
5234.0,832.0,Of course salary/pay Environment of workplace Safety Opportunity for advancement Reimbursement for school. ,0,1,0,0,0,0,0,0,1,1,0,0
5227.0,825.0,Great work life balance and pay. ,0,0,1,0,0,0,0,0,1,0,0,0
5222.0,820.0,Great people and teams,0,0,0,0,1,0,0,0,0,0,0,0
5219.0,817.0,Fine culture and great work/life balance. ,0,0,1,0,1,0,0,0,0,0,0,0
5217.0,815.0,Good work culture and work life balance. ,0,0,1,0,1,0,0,0,0,0,0,0
5214.0,812.0,Training and development opportunities are abundant. ,0,0,0,0,0,0,0,0,0,1,0,1
5211.0,809.0,lots of opportunity to learn. ,0,0,0,0,0,0,0,0,0,1,0,1
5209.0,807.0,strong work life balance with permissive leave. ,0,0,1,0,0,0,0,0,1,0,0,0
5208.0,806.0,Good environment cluster on GE-Healthcare. ,1,0,0,0,1,0,0,0,0,0,0,0
5203.0,801.0,Flexibility when it comes to work/life balance.. ,0,0,1,0,0,0,0,0,0,0,0,0
5159.0,757.0,Technology driven company with possibilities to develop expertise. Great work life balance.. ,0,0,1,0,0,0,0,0,0,1,0,1
5201.0,799.0,lots of opportunities and locations to work at.. ,0,0,0,0,0,0,0,0,0,1,0,0
5199.0,797.0,Work Life Balance is good. ,0,0,1,0,0,0,0,0,0,0,0,0
5196.0,794.0,Great people,0,0,0,0,1,0,0,0,0,0,0,0
5195.0,793.0,Flexible working environment and good health benefit. ,1,0,1,0,0,0,0,0,1,0,0,1
5193.0,791.0,Good work life balance and great pay. ,0,0,1,0,0,0,0,0,1,0,0,0
5186.0,784.0,Diverse opportunities,0,0,0,0,0,0,0,0,0,1,0,0
5178.0,776.0,Cares about people and family. ,0,0,0,0,1,0,0,0,1,0,0,0
5177.0,775.0,Structure and opportunity. Diverse opportunities.. ,0,0,0,0,0,0,0,0,0,1,0,0
5174.0,772.0,Work/Life balance,0,0,1,0,0,0,0,0,0,0,0,0
5173.0,771.0,Tremendous quality of peers Strong purpose. ,0,0,0,0,1,0,0,0,0,0,0,0
5167.0,765.0,Competitive pay,0,0,0,0,0,0,0,0,1,0,0,0
5047.0,645.0,Large company,0,0,0,0,0,0,0,0,0,0,0,0
5039.0,637.0,Work,0,0,0,0,0,0,0,0,0,0,0,0
5035.0,633.0,now with covid,0,0,0,0,0,0,0,0,0,0,0,0
4886.0,484.0,Career progression,0,0,0,0,0,0,0,0,0,1,0,0
4915.0,513.0,Great benefits,0,0,0,0,0,0,0,0,1,0,0,1
4906.0,504.0,Development opportunities and stretch assignments. ,0,0,0,0,0,0,0,0,0,1,0,0
4905.0,503.0,Offered plenty of training. Good work life balance.. ,0,0,1,0,0,0,0,0,0,1,0,1
4901.0,499.0,Good Work Life Balance as FE. ,0,0,1,0,0,0,0,0,0,0,0,0
4899.0,497.0,Solid 401k Match Great Work Life Balance. ,1,0,1,1,0,0,0,0,0,0,0,0
4898.0,496.0,Good benefits,0,0,0,0,0,0,0,0,1,0,0,1
4895.0,493.0,People friendly,0,0,0,0,1,0,0,0,0,0,0,0
4893.0,491.0,More opportunities in the company. ,0,0,0,0,0,0,0,0,0,1,0,0
4892.0,490.0,projects are interesting,0,0,0,0,0,0,0,0,0,1,0,0
4889.0,487.0,good work life balances,0,0,1,0,0,0,0,0,0,0,0,0
4887.0,485.0,Decent pay ,0,0,0,0,0,0,0,0,1,0,0,0
4881.0,479.0,Senior leadership shows genuine care about employees. ,0,0,0,0,0,0,0,0,0,0,0,0
5034.0,632.0,Work life balance is second to none. ,0,0,1,0,0,0,0,0,0,0,0,0
4873.0,471.0,Management always willing to let you grow & try new tasks. Work-life balance is stable with remote work during COVID-19.. ,0,0,1,0,0,0,0,1,0,1,0,0
4870.0,468.0,Great culture with good lateral opportunities.. ,0,0,0,0,1,0,0,0,0,1,0,0
4868.0,466.0,Great people and project opportunities. There is need for good personnel. The company offers a good amount of work and you will learn a lot.. ,0,0,0,0,1,0,0,0,0,1,0,1
4863.0,461.0,Tons of work,0,0,1,0,0,0,0,0,0,0,0,0
4862.0,460.0,Work-life balance,0,0,1,0,0,0,0,0,0,0,0,0
4861.0,459.0,Challenging opportunities and work environment. Flexible hours. ,0,0,1,0,0,0,0,0,0,1,0,0
4860.0,458.0,Product Excellence,0,0,0,0,0,0,0,0,0,0,0,0
4845.0,443.0,Smart people,0,0,0,0,1,0,0,0,0,0,0,0
4840.0,438.0,Good benefits and good ways for career progression. ,0,0,0,0,0,0,0,0,1,1,0,1
4839.0,437.0,Pay,0,0,0,0,0,0,0,0,1,0,0,0
