Company;review_title;pros;cons;text;score_pros;score_cons;score_combined;insurance
ExxonMobil;Great Company Overall;Great work environment Great benefits Pretty good work/life balance;I have not experienced anything negative so far;pro great work environment great benefit pretty good work life balance con experienced anything negative far;0.95;0.46;0.93;0
ExxonMobil;working on energy R&D;Outstanding colleagues, working on high impact problems;Difficult industry business environment currently.;pro outstanding colleague working high impact problem con difficult industry business environment currently;0.32;-0.36;-0.05;0
ExxonMobil;Flexibility;The flexibility and the nature of working there is more like a family environment. I love it how we all look out for each other.;No downside. PERIOD. Such a great place to join.;pro flexibility nature working like family environment love look con downside period great place join;0.86;0.79;0.92;0
ExxonMobil;I can only be thankful;I am achieving my dreams in partnership with the company. Very thankful. It is hard work, but when wasn't it supposed to be that way if you pursue your dreams.;It is hard times right now. But for me, it's worth it.;pro achieving dream partnership company thankful hard work supposed way pursue dream con hard time right worth;0.77;0.28;0.78;0
ExxonMobil;Decent company to work for;Competitive pay, structured benefits, and job satisfaction;Even if you worked your tail off the whole year, you must endure the strange evaluation system at the end of it.;pro competitive pay structured benefit job satisfaction con even worked tail whole year must endure strange evaluation system end;0.7;-0.2;0.66;0
ExxonMobil;New PT;Pension, health insurance benefits, rotating 4 on 4 off schedule;Very old refinery, a lot of older senior employees seem to be very unhappy.;pro pension health insurance benefit rotating schedule con old refinery lot older senior employee seem unhappy;0.38;-0.48;0.05;0
ExxonMobil;n;Benefits, Salary, people, environment, campus;I have no cons ok;pro benefit salary people environment campus con con ok;0.38;-0.47;0.64;0
ExxonMobil;;overall a good place to work;reorganization frequently causing a lot of confusion;pro overall good place work con reorganization frequently causing lot confusion;0.44;-0.3;0.18;0
ExxonMobil;Great Experience;People, Assignment opportunities, Benefits, Salary;Short sighted, Clicky, lack of transparency;pro people assignment opportunity benefit salary con short sighted clicky lack transparency;0.64;-0.32;0.54;0
ExxonMobil;Lead Engineer;"Great place to work depending on career path and group placed in the company; Competitive benefits";"Performance politics and ranking nuances can sometimes deter innovation; expect long and sometimes unreasonable hours";pro great place work depending career path group placed company competitive benefit con performance politics ranking nuance sometimes deter innovation expect long sometimes unreasonable hour;0.81;0.38;0.89;0
ExxonMobil;Great;Awesome company to work for;Nothing is really a con;pro awesome company work con nothing really con;0.62;0.0;0.62;0
ExxonMobil;EM can return;Work with best and brightest Challenging and fun assignments Reasonable compensation and benefits People can turn company around;Strategy is backward vs forward looking Employees have become disposable parts;pro work best brightest challenging fun assignment reasonable compensation benefit people turn company around con strategy backward v forward looking employee become disposable part;0.94;0.0;0.94;0
ExxonMobil;Terrible Culture;Salary and a nice campus.;Toxic culture. Employees are forced rank into buckets which creates a “Hunger Games” culture.1 person found this review helpfulHelpfulShareRepor;pro salary nice campus con toxic culture employee forced rank bucket creates hunger game culture person found review helpfulhelpfulsharerepor;0.42;-0.23;-0.03;0
ExxonMobil;Good company;Great environment. Work culture. Good colleagues;Nothing much to write here;pro great environment work culture good colleague con nothing much write;0.79;0.0;0.79;0
ExxonMobil;No longer a place for career longevity and stability;- Base salary is good. - Can have plenty of time for studying and self-improvement.;- Toxic culture due to forced ranking every year. It is literally a hunger game now. - There is no place for technical specialists in the future.1 person found this review helpfulHelpfulShareRepor;pro base salary good plenty time studying self improvement con toxic culture due forced ranking every year literally hunger game place technical specialist future person found review helpfulhelpfulsharerepor;0.44;-0.74;0.23;0
ExxonMobil;Toxic For Now;Had some stability, consistency and fun in the past. I hope we're on the verge of throwing out the current Sr. management. Exciting to be part of the resistance within a collapsing empire.;Management is useless and/or terrified and/or sociopathic by design.;pro stability consistency fun past hope verge throwing current sr management exciting part resistance within collapsing empire con management useless terrified sociopathic design;0.8;-0.78;0.1;0
ExxonMobil;"Good when it was good; frustrating always";Excellent training prior to 2020. Very smart colleagues. Excellent compensation. Flexible work day. Amazing data and challenging projects.;Subjective performance evaluation system. Incestuous promotion process. Lack of ownership of one’s career. Lack of integrity by leader ship surrounding career growth opportunities and plans. Lack of continuity amongst leader ship and everything from business decisions to employee development. Generally a sense of self satisfactory and self congratulatory behavior within the company. Arrogance and pride abound. If you don’t get promoted before you turn 40, there is no hope. If you don’t get promoted before you have children there is little help - still some hoe just not much.;pro excellent training prior smart colleague excellent compensation flexible work day amazing data challenging project con subjective performance evaluation system incestuous promotion process lack ownership one career lack integrity leader ship surrounding career growth opportunity plan lack continuity amongst leader ship everything business decision employee development generally sense self satisfactory self congratulatory behavior within company arrogance pride abound get promoted turn hope get promoted child little help still hoe much;0.95;0.79;0.98;0
ExxonMobil;Excellent;Great place to work with good benefits;Large corporation and many levels of management;pro great place work good benefit con large corporation many level management;0.86;0.0;0.88;0
ExxonMobil;Terrible company to work;You learn a lot in a short period of time You meet good people who are good at what they do;Culture is terrible alarmist everyone complains about working here No transparency with decision Unfair adavantage if you are a minority trying to climb to the top (blonde hair, blue eyes) You are just a number You will be overworked and under compensated Don’t work here.1 person found this review helpfulHelpfulShareRepor;pro learn lot short period time meet good people good con culture terrible alarmist everyone complains working transparency decision unfair adavantage minority trying climb top blonde hair blue eye number overworked compensated work person found review helpfulhelpfulsharerepor;0.7;-0.84;-0.23;0
ExxonMobil;Senior (FP&A) Analyst;Compensation, benefits package, and workplace flexibility;Lack of transparency with career development, opportunities;pro compensation benefit package workplace flexibility con lack transparency career development opportunity;0.61;0.08;0.71;0
