,ID,Initial_ID,text,S,insurance,safety,balance,retirement,culture,racism,sexism,ageism,benefits,opportunities,privacy,resources
5145,5145,743,Work life balance,0,0,0,1,0,0,0,0,0,0,0,0,0
5134,5134,732,Many opportunities off program to explore different areas/fields. Huge amount of experience in 2 years.. ,1,0,0,0,0,0,0,0,0,0,1,0,0
5132,5132,730,Flexible Leadership is strong Challenging Learning Opportunities Volunteer Events. ,1,0,0,1,0,0,0,0,0,0,1,0,0
5126,5126,724,Collaborative culture,0,0,0,0,0,1,0,0,0,0,0,0,0
5123,5123,721,Culture Work ethics technology quality experts. ,1,0,0,0,0,1,0,0,0,0,0,0,0
5117,5117,715,There are good career advancement opportunities. ,1,0,0,0,0,0,0,0,0,0,1,0,1
5106,5106,704,great company and lots of opportunity. ,1,0,0,0,0,0,0,0,0,0,1,0,0
5103,5103,701,Loved working in teams and collaborations.. ,1,0,0,0,0,1,0,0,0,0,0,0,0
5101,5101,699,Good pay. Good opportunities for advancement.. ,1,0,0,0,0,0,0,0,0,1,1,0,0
5099,5099,697,Great learning opportunities about different processes. ,1,0,0,0,0,0,0,0,0,0,1,0,0
5082,5082,680,Flexible hours with opportunity for growth. ,1,0,0,1,0,0,0,0,0,0,1,0,0
5155,5155,753,Compensation & Benefits,0,0,0,0,0,0,0,0,0,1,0,0,0
5079,5079,677,Resources and benefits were good. ,1,0,0,0,0,0,0,0,0,1,1,0,1
5073,5073,671,Access to leadership -Rotational (upwards learning curve) -Good work life balance.,1,0,0,1,0,0,0,0,0,0,1,0,0
5072,5072,670,Overall,0,0,0,0,0,0,0,0,0,0,0,0,0
5070,5070,668,I had a lot of responsibility and leadership positions. ,1,0,0,0,0,0,0,0,0,0,1,0,0
5068,5068,666,Great leadership,0,0,0,0,0,0,0,0,0,0,0,0,0
5066,5066,664,Good culture,0,0,0,0,0,1,0,0,0,0,0,0,0
5065,5065,663,Great place to grow your career. ,1,0,0,0,0,0,0,0,0,0,1,0,0
5064,5064,662,Global engagement,0,0,0,0,0,0,0,0,0,0,0,0,0
5062,5062,660,Availability for multiple career opportunities - Availability to travel - Exposure to senior leadership.,1,0,0,0,0,0,0,0,0,1,1,0,0
5051,5051,649,This is a company where leaders truly care about your career and goals. It's never hard to find a mentor or C-level leader to spend time with. If you are able to deliver upon your goals,0,0,0,0,0,1,0,0,0,0,1,0,1
5050,5050,648,Diverse,0,0,0,0,0,0,0,0,0,0,0,0,0
5150,5150,748,Good Health Care Benefits,0,1,0,0,0,0,0,0,0,0,0,0,0
5157,5157,755,Opportunities to learn and work with global teams. Fast paced,0,0,0,0,0,0,0,0,0,0,1,0,0
4831,4831,429,Work life balance GE culture Competitive benefits. ,1,0,0,1,0,0,0,0,0,1,0,0,0
5204,5204,802,The team I worked with was very inclusive and genuinely cared about doing the right thing. Integrity was not just a corporate buzzword. I really enjoyed the teaming methodologies that were used to galvanize the team.. ,1,0,0,0,0,1,0,0,0,0,1,0,0
5240,5240,838,Balance in work life style. Great team mates. ,1,0,0,1,0,1,0,0,0,0,0,0,0
5236,5236,834,Good culture,0,0,0,0,0,1,0,0,0,0,0,0,0
5234,5234,832,Of course salary/pay Environment of workplace Safety Opportunity for advancement Reimbursement for school. ,1,0,0,0,0,0,0,0,0,1,1,0,0
5227,5227,825,Great work life balance and pay. ,1,0,0,1,0,1,0,0,0,1,0,0,0
5222,5222,820,Great people and teams,0,0,0,0,0,0,0,0,0,0,0,0,0
5219,5219,817,Fine culture and great work/life balance. ,1,0,0,1,0,1,0,0,0,0,0,0,0
5217,5217,815,Good work culture and work life balance. ,1,0,0,1,0,1,0,0,0,0,0,0,0
5214,5214,812,Training and development opportunities are abundant. ,1,0,0,0,0,0,0,0,0,0,1,0,1
5211,5211,809,lots of opportunity to learn. ,1,0,0,0,0,0,0,0,0,0,1,0,0
5209,5209,807,strong work life balance with permissive leave. ,1,0,0,1,0,0,0,0,0,1,0,0,0
5208,5208,806,Good environment cluster on GE-Healthcare. ,1,1,0,0,0,0,0,0,0,0,0,0,0
5203,5203,801,Flexibility when it comes to work/life balance.. ,1,0,0,1,0,0,0,0,0,0,0,0,0
5159,5159,757,Technology driven company with possibilities to develop expertise. Great work life balance.. ,1,0,0,1,0,0,0,0,0,0,1,0,0
5201,5201,799,lots of opportunities and locations to work at.. ,1,0,0,0,0,0,0,0,0,0,1,0,0
5199,5199,797,Work Life Balance is good. ,1,0,0,1,0,0,0,0,0,0,0,0,0
5196,5196,794,Great people,0,0,0,0,0,1,0,0,0,0,0,0,0
5195,5195,793,Flexible working environment and good health benefit. ,1,1,0,1,0,0,0,0,0,0,0,0,0
5193,5193,791,Good work life balance and great pay. ,1,0,0,1,0,0,0,0,0,1,0,0,0
5186,5186,784,Diverse opportunities,0,0,0,0,0,0,0,0,0,0,1,0,0
5178,5178,776,Cares about people and family. ,1,0,0,0,0,0,0,0,0,1,0,0,0
5177,5177,775,Structure and opportunity. Diverse opportunities.. ,1,0,0,0,0,0,0,0,0,0,1,0,1
5174,5174,772,Work/Life balance,0,0,0,1,0,0,0,0,0,0,0,0,0
5173,5173,771,Tremendous quality of peers Strong purpose. ,1,0,0,0,0,0,0,0,0,0,0,0,0
5167,5167,765,Competitive pay,0,0,0,0,0,0,0,0,0,1,0,0,0
5047,5047,645,Large company,0,0,0,0,0,0,0,0,0,0,0,0,0
5039,5039,637,Work,0,0,0,0,0,0,0,0,0,0,0,0,0
5035,5035,633,now with covid,0,0,0,0,0,0,0,0,0,0,0,0,0
4886,4886,484,Career progression,0,0,0,0,0,0,0,0,0,0,1,0,1
4915,4915,513,Great benefits,0,0,0,0,0,0,0,0,0,1,0,0,0
4906,4906,504,Development opportunities and stretch assignments. ,1,0,0,0,0,0,0,0,0,0,1,0,0
4905,4905,503,Offered plenty of training. Good work life balance.. ,1,0,0,1,0,0,0,0,0,0,1,0,1
4901,4901,499,Good Work Life Balance as FE. ,1,0,0,1,0,0,0,0,0,0,0,0,0
4899,4899,497,Solid 401k Match Great Work Life Balance. ,1,1,0,1,1,0,0,0,0,0,0,0,0
4898,4898,496,Good benefits,0,0,0,0,0,0,0,0,0,1,0,0,0
4895,4895,493,People friendly,0,0,0,0,0,1,0,0,0,0,0,0,0
4893,4893,491,More opportunities in the company. ,1,0,0,0,0,0,0,0,0,0,1,0,0
4892,4892,490,projects are interesting,0,0,0,0,0,0,0,0,0,0,0,0,0
4889,4889,487,good work life balances,0,0,0,1,0,0,0,0,0,0,0,0,0
4887,4887,485,Decent pay ,0,0,0,0,0,0,0,0,0,1,0,0,0
4881,4881,479,Senior leadership shows genuine care about employees. ,1,0,0,0,0,1,0,0,0,0,0,0,0
5034,5034,632,Work life balance is second to none. ,1,0,0,1,0,0,0,0,0,0,0,0,0
4873,4873,471,Management always willing to let you grow & try new tasks. Work-life balance is stable with remote work during COVID-19.. ,1,0,0,1,0,1,0,0,0,0,1,0,1
4870,4870,468,Great culture with good lateral opportunities.. ,1,0,0,0,0,1,0,0,0,0,1,0,0
4868,4868,466,Great people and project opportunities. There is need for good personnel. The company offers a good amount of work and you will learn a lot.. ,1,0,0,0,0,0,0,0,0,0,1,0,0
4863,4863,461,Tons of work,0,0,0,1,0,0,0,0,0,0,0,0,0
4862,4862,460,Work-life balance,0,0,0,1,0,0,0,0,0,0,0,0,0
4861,4861,459,Challenging opportunities and work environment. Flexible hours. ,1,0,0,1,0,0,0,0,0,0,1,0,0
4860,4860,458,Product Excellence,0,0,0,0,0,0,0,0,0,0,0,0,0
4845,4845,443,Smart people,0,0,0,0,0,1,0,0,0,0,0,0,0
4840,4840,438,Good benefits and good ways for career progression. ,1,0,0,0,0,0,0,0,0,1,1,0,0
4839,4839,437,Pay,0,0,0,0,0,0,0,0,0,1,0,0,0
4838,4838,436,Benefits,0,0,0,0,0,0,0,0,0,1,0,0,0
4921,4921,519,Great pay for the area I live in Handled the COVID situation well Lots of networking opportunities Ability to travel some. ,1,0,0,0,0,0,0,0,0,1,1,0,0
4929,4929,527,Great,0,0,0,0,0,0,0,0,0,0,0,0,0
4930,4930,528,salary,0,0,0,0,0,0,0,0,0,1,0,0,0
4932,4932,530,Insurance was good and h.r. ,1,1,0,0,0,0,0,0,0,0,0,0,0
5030,5030,628,Good WLB,0,0,0,1,0,0,0,0,0,0,0,0,0
5003,5003,601,Historic brand. Quality electrical products.. ,1,0,0,0,0,0,0,0,0,0,0,0,0
4999,4999,597,Large company with lots of opportunities.. ,1,0,0,0,0,0,0,0,0,0,1,0,0
