sep=;
;ID;Initial_ID;pros;score_pros;insurance;safety;balance;retirement;racism;sexism;ageism;benefits;growth;privacy
0;5145;5145;Work life balance;0.0;0;0;1;0;0;0;0;0;0;0
1;5134;5134;Many opportunities off program to explore different areas/fields. Huge amount of experience in 2 years.. ;0.6;0;0;0;0;0;0;0;0;1;0
2;5132;5132;Flexible Leadership is strong Challenging Learning Opportunities Volunteer Events. ;0.81;0;0;1;0;0;0;0;0;1;0
3;5126;5126;Collaborative culture;0.0;0;0;0;0;0;0;0;0;0;0
4;5123;5123;Culture Work ethics technology quality experts. ;0.0;0;0;0;0;0;0;0;0;0;0
5;5117;5117;There are good career advancement opportunities. ;0.67;0;0;0;0;0;0;0;0;1;0
6;5106;5106;great company and lots of opportunity. ;0.78;0;0;0;0;0;0;0;0;1;0
7;5103;5103;Loved working in teams and collaborations.. ;0.6;0;0;0;0;0;0;0;0;0;0
8;5101;5101;Good pay. Good opportunities for advancement.. ;0.79;0;0;0;0;0;0;0;1;1;0
9;5099;5099;Great learning opportunities about different processes. ;0.77;0;0;0;0;0;0;0;0;1;0
10;5082;5082;Flexible hours with opportunity for growth. ;0.74;0;0;1;0;0;0;0;0;1;0
11;5155;5155;Compensation & Benefits;0.38;0;0;0;0;0;0;0;1;0;0
12;5079;5079;Resources and benefits were good. ;0.67;0;0;0;0;0;0;0;1;1;0
13;5073;5073;Access to leadership -Rotational (upwards learning curve) -Good work life balance.;0.44;0;0;1;0;0;0;0;0;1;0
14;5072;5072;Overall;0.0;0;0;0;0;0;0;0;0;0;0
15;5070;5070;I had a lot of responsibility and leadership positions. ;0.0;0;0;0;0;0;0;0;0;1;0
16;5068;5068;Great leadership;0.62;0;0;0;0;0;0;0;0;0;0
17;5066;5066;Good culture;0.44;0;0;0;0;0;0;0;0;0;0
18;5065;5065;Great place to grow your career. ;0.62;0;0;0;0;0;0;0;0;1;0
19;5064;5064;Global engagement;0.46;0;0;0;0;0;0;0;0;0;0
20;5062;5062;Availability for multiple career opportunities - Availability to travel - Exposure to senior leadership.;0.38;0;0;0;0;0;0;0;1;1;0
21;5051;5051;This is a company where leaders truly care about your career and goals. It's never hard to find a mentor or C-level leader to spend time with. If you are able to deliver upon your goals;0.75;0;0;0;0;0;0;0;0;1;0
22;5050;5050;Diverse;0.0;0;0;0;0;0;0;0;0;0;0
23;5150;5150;Good Health Care Benefits;0.83;1;0;0;0;0;0;0;0;0;0
24;5157;5157;Opportunities to learn and work with global teams. Fast paced;0.38;0;0;0;0;0;0;0;0;1;0
25;4831;4831;Work life balance GE culture Competitive benefits. ;0.51;0;0;1;0;0;0;0;1;0;0
26;5204;5204;The team I worked with was very inclusive and genuinely cared about doing the right thing. Integrity was not just a corporate buzzword. I really enjoyed the teaming methodologies that were used to galvanize the team.. ;0.84;0;0;0;0;0;0;0;0;1;0
27;5240;5240;Balance in work life style. Great team mates. ;0.62;0;0;1;0;0;0;0;0;0;0
28;5236;5236;Good culture;0.44;0;0;0;0;0;0;0;0;0;0
29;5234;5234;Of course salary/pay Environment of workplace Safety Opportunity for advancement Reimbursement for school. ;0.68;0;0;0;0;0;0;0;1;1;0
30;5227;5227;Great work life balance and pay. ;0.57;0;0;1;0;0;0;0;1;0;0
31;5222;5222;Great people and teams;0.62;0;0;0;0;0;0;0;0;0;0
32;5219;5219;Fine culture and great work/life balance. ;0.71;0;0;1;0;0;0;0;0;0;0
33;5217;5217;Good work culture and work life balance. ;0.44;0;0;1;0;0;0;0;0;0;0
34;5214;5214;Training and development opportunities are abundant. ;0.38;0;0;0;0;0;0;0;0;1;0
35;5211;5211;lots of opportunity to learn. ;0.42;0;0;0;0;0;0;0;0;1;0
36;5209;5209;strong work life balance with permissive leave. ;0.48;0;0;1;0;0;0;0;1;0;0
37;5208;5208;Good environment cluster on GE-Healthcare. ;0.44;1;0;0;0;0;0;0;0;0;0
38;5203;5203;Flexibility when it comes to work/life balance.. ;0.34;0;0;1;0;0;0;0;0;0;0
39;5159;5159;Technology driven company with possibilities to develop expertise. Great work life balance.. ;0.62;0;0;1;0;0;0;0;0;1;0
40;5201;5201;lots of opportunities and locations to work at.. ;0.38;0;0;0;0;0;0;0;0;1;0
41;5199;5199;Work Life Balance is good. ;0.44;0;0;1;0;0;0;0;0;0;0
42;5196;5196;Great people;0.62;0;0;0;0;0;0;0;0;0;0
43;5195;5195;Flexible working environment and good health benefit. ;0.78;1;0;1;0;0;0;0;0;0;0
44;5193;5193;Good work life balance and great pay. ;0.77;0;0;1;0;0;0;0;1;0;0
45;5186;5186;Diverse opportunities;0.38;0;0;0;0;0;0;0;0;1;0
46;5178;5178;Cares about people and family. ;0.46;0;0;0;0;0;0;0;1;0;0
47;5177;5177;Structure and opportunity. Diverse opportunities.. ;0.66;0;0;0;0;0;0;0;0;1;0
48;5174;5174;Work/Life balance;0.0;0;0;1;0;0;0;0;0;0;0
49;5173;5173;Tremendous quality of peers Strong purpose. ;0.51;0;0;0;0;0;0;0;0;0;0
50;5167;5167;Competitive pay;0.08;0;0;0;0;0;0;0;1;0;0
51;5047;5047;Large company;0.0;0;0;0;0;0;0;0;0;0;0
52;5039;5039;Work;0.0;0;0;0;0;0;0;0;0;0;0
53;5035;5035;now with covid;0.0;0;0;0;0;0;0;0;0;0;0
54;4886;4886;Career progression;0.0;0;0;0;0;0;0;0;0;1;0
55;4915;4915;Great benefits;0.77;0;0;0;0;0;0;0;1;0;0
56;4906;4906;Development opportunities and stretch assignments. ;0.38;0;0;0;0;0;0;0;0;1;0
57;4905;4905;Offered plenty of training. Good work life balance.. ;0.44;0;0;1;0;0;0;0;0;1;0
58;4901;4901;Good Work Life Balance as FE. ;0.44;0;0;1;0;0;0;0;0;0;0
59;4899;4899;Solid 401k Match Great Work Life Balance. ;0.69;1;0;1;1;0;0;0;0;0;0
60;4898;4898;Good benefits;0.67;0;0;0;0;0;0;0;1;0;0
61;4895;4895;People friendly;0.49;0;0;0;0;0;0;0;0;0;0
62;4893;4893;More opportunities in the company. ;0.44;0;0;0;0;0;0;0;0;1;0
63;4892;4892;projects are interesting;0.4;0;0;0;0;0;0;0;0;0;0
64;4889;4889;good work life balances;0.44;0;0;1;0;0;0;0;0;0;0
65;4887;4887;Decent pay ;-0.1;0;0;0;0;0;0;0;1;0;0
66;4881;4881;Senior leadership shows genuine care about employees. ;0.49;0;0;0;0;0;0;0;0;0;0
67;5034;5034;Work life balance is second to none. ;0.0;0;0;1;0;0;0;0;0;0;0
68;4873;4873;Management always willing to let you grow & try new tasks. Work-life balance is stable with remote work during COVID-19.. ;0.3;0;0;1;0;0;0;0;0;1;0
69;4870;4870;Great culture with good lateral opportunities.. ;0.86;0;0;0;0;0;0;0;0;1;0
70;4868;4868;Great people and project opportunities. There is need for good personnel. The company offers a good amount of work and you will learn a lot.. ;0.91;0;0;0;0;0;0;0;0;1;0
71;4863;4863;Tons of work;0.0;0;0;1;0;0;0;0;0;0;0
72;4862;4862;Work-life balance;0.0;0;0;1;0;0;0;0;0;0;0
73;4861;4861;Challenging opportunities and work environment. Flexible hours. ;0.62;0;0;1;0;0;0;0;0;1;0
74;4860;4860;Product Excellence;0.62;0;0;0;0;0;0;0;0;0;0
75;4845;4845;Smart people;0.4;0;0;0;0;0;0;0;0;0;0
76;4840;4840;Good benefits and good ways for career progression. ;0.81;0;0;0;0;0;0;0;1;1;0
77;4839;4839;Pay;-0.1;0;0;0;0;0;0;0;1;0;0
78;4838;4838;Benefits;0.38;0;0;0;0;0;0;0;1;0;0
79;4921;4921;Great pay for the area I live in Handled the COVID situation well Lots of networking opportunities Ability to travel some. ;0.87;0;0;0;0;0;0;0;1;1;0
80;4929;4929;Great;0.62;0;0;0;0;0;0;0;0;0;0
81;4930;4930;salary;0.0;0;0;0;0;0;0;0;1;0;0
82;4932;4932;Insurance was good and h.r. ;0.44;1;0;0;0;0;0;0;0;0;0
83;5030;5030;Good WLB;0.44;0;0;1;0;0;0;0;0;0;0
84;5003;5003;Historic brand. Quality electrical products.. ;0.0;0;0;0;0;0;0;0;0;0;0
85;4999;4999;Large company with lots of opportunities.. ;0.38;0;0;0;0;0;0;0;0;1;0
86;4996;4996;Competitive workplace offering opportunity to advance the state of art in jet engines.. ;0.54;0;0;0;0;0;0;0;0;1;0
87;4995;4995;GE Management training programs The culture at the business level is a collaborative environment and gets things done Career opportunities at multiple businesses. ;0.38;0;0;0;0;0;0;0;0;1;0
88;4993;4993;If you have the desire to work through the corporation;0.4;0;0;0;0;0;0;0;0;1;0
89;4991;4991;Great benefit;0.8;0;0;0;0;0;0;0;1;0;0
90;4990;4990;Insurance;0.0;1;0;0;0;0;0;0;0;0;0
91;4986;4986;Flexibility;0.34;0;0;1;0;0;0;0;0;0;0
92;4985;4985;Took care of employees. Great benefits.. ;0.87;0;0;0;0;0;0;0;1;0;0
93;4983;4983;good leadership culture that encourages risk taking. ;0.57;0;0;0;0;0;0;0;0;0;0
94;4982;4982;Good opportunity to learn across several product types. ;0.69;0;0;0;0;0;0;0;0;1;0
95;4972;4972;work life balance is great. ;0.62;0;0;1;0;0;0;0;0;0;0
96;4970;4970;opportunity for growth;0.66;0;0;0;0;0;0;0;0;1;0
97;4968;4968;Good company to work with. Work life balance. ;0.44;0;0;1;0;0;0;0;0;0;0
98;4962;4962;Big company a lot of opportunities. ;0.38;0;0;0;0;0;0;0;0;1;0
99;4952;4952;Great learning opportunities for in-house lawyers. ;0.77;0;0;0;0;0;0;0;0;1;0
