review_title,review,sentiment
Great place to work,{ Pros. Because of the work culture } { Cons. Swing shift and extended work hours },0.0
Great Compnay,{ Pros. Inclusive and diverse company! Great work and life balance } { Cons. I don't have nothing to share. },0.54
Excellent,"{ Pros. Great job, excellent crew and perks. I miss it. } { Cons. It was the third best job I ever had. }",0.91
Great Place to Work,{ Pros. Excellent work life balance Very diverse and inclusive work force High quality performance is encouraged and rewarded } { Cons. Promotions can be slow moving },0.86
It’s cool Ig,{ Pros. Good pay Time off Good customers I don’t know what else } { Cons. Bad managers Horrible coworkers Dirty all the time },-0.67
The company does great work.,{ Pros. Get the opportunity to interface with many different groups/teams. } { Cons. Sometimes projects move slower than you would like. },0.65
Salary,"{ Pros. Security, great pay and benefits. } { Cons. I can't complain. Lucky to earn what I do. }",0.82
Growing Pains,"{ Pros. Career opportunities if you're mobile, good pay and benefits } { Cons. overworked, transition to new structure is taking way longer than expected causing long hours and frustration }",0.56
Intern,{ Pros. High paying pay and nice coworkers } { Cons. Boring Not what I wanted to do },0.03
Good place to work,"{ Pros. Good benefits, great colleagues , collaborative atmosphere slow } { Cons. bureaucracy, slow to adopt new technology }",0.88
"Good people, tough industry",{ Pros. Big organization with a lot of perks } { Cons. O&G is volatile and corporate structure changes all the time },0.0
Great,{ Pros. Great company to work for } { Cons. No cons that I can think of },0.44
Chevron Review,{ Pros. Work-life balance. Impactful projects. Great colleagues. } { Cons. Big company with lots of red tape. Can sometimes be monotonous. },0.62
Chevron Review,"{ Pros. Compensation, Benefits, Job security, Productivity, Paid time off } { Cons. Career opportunities, management, Work/Life balance, Job Advancement, Strict policies }",0.77
Great,{ Pros. Great hours during the shift } { Cons. Long hours during the shift },0.62
Awesome,{ Pros. Great co workers Family oriented Work/homelife balance } { Cons. Pay is low Management is a little hectic Politics of being on tribal land },0.38
Great company and culture,"{ Pros. Leadership is very accountable, and excellent communication down through the ranks. They have a strong safety culture which is lauded and respected through Operational tenets. Overall a well managed company. } { Cons. At times there are re-orgs and they make severe changes throughout the organization, which can feel uneasy if you are unsure as to where your org / or role will land. As well, hard to say what their long game is with concern to reducing fossil fuels and climate change. }",0.87
Fantastic opportunities for leadership development of graduate hires,"{ Pros. Strong international partners and industry best technology. Career planning and development focused. Outstanding pay and benefits. } { Cons. Bureaucratic standardization to corporate center. Insider, robotic culture. General Manager level is made exclusively from people who have never worked at another company during long careers, thus specific leadership style highly valued. }",0.96
Chevron,"{ Pros. Good benefits, work and life balance } { Cons. Huge company more difficult to move up the career ladder }",0.61
socialize with the customers; also taking care of they're needs when needed.,"{ Pros. Always an on going activity. If you like multitasking this is the job for you. Slow when winter comes, but very on going when summer comes around. } { Cons. Some of the bosses are unfair to others. If you keep it up front they do not like that. That's what I did and now I am unemployed. }",-0.72
Work life balance,{ Pros. Every other Friday off Remote work Monday and Fridays benefits } { Cons. New hires only 2 weeks of vacation },0.38
Great company,"{ Pros. Great company who takes care of their employees. } { Cons. Large company, so lots of policy and processes that can make easy things difficult. }",0.83
summary,"{ Pros. culture, people, development, challenging assignments } { Cons. work life balance and silos }",0.15
Horizons Engineer,{ Pros. -good company culture -growth mindset mentality } { Cons. -higher ups don't communicate to staff enough },0.67
Great company,{ Pros. Great company with great management } { Cons. No issues with the company },0.79
Great company to work for doesn’t move fast,"{ Pros. Career opportunities, team spirit, long term strategy recently updated, company culture } { Cons. Too many Management layers and inability to move fast, engrained ways of doing things, salaries not necessarily competitive with peers in industry. }",0.02
Working at a gas station,{ Pros. Not many but you do get flexible hours and at times more than 60 hours a week if you are able to } { Cons. It's a frustrating job at times },-0.36
Chevron review,{ Pros. The benefits at chevron were excellent } { Cons. Heavy workload and tight deadlines },0.74
Overall decent company to work for,{ Pros. Great 410k match and work life balance } { Cons. Work might not be so exciting },0.85
very friendly working enviroment,"{ Pros. Nice pa, friendly working environment } { Cons. not discovered yet, it is pretty good for now }",0.9
Good place to work,{ Pros. Good Benefits The pay is within a respectable range } { Cons. Can be very political and competitive among fellow employees },0.84
"After reorg, organization for IT Chapters has declined","{ Pros. Hybrid work model, every other Friday off } { Cons. Organization has not been great after company re-org }",-0.51
Great company,{ Pros. Very professional team and great career growth } { Cons. Too much politics difficult to be promoted },0.79
Alright,{ Pros. The seem to care about the employees } { Cons. Big oil is destroying the environment },-0.1
Great place to work,{ Pros. Compensation is better than most industries. } { Cons. The company is so big that it is easy to get lost. },0.54
Review,{ Pros. Pros: work/life balance flexibility Great pay Great career opportunities } { Cons. Cons: Some department are known for having toxic cultures They preach diversity but do not walk the talk },0.75
Manager,{ Pros. Culture / People / Pay } { Cons. Pace of Change and Process Heavy },-0.1
Great place to work,{ Pros. Nice people to work with } { Cons. Very very hard work! Especially in the summer time },0.28
Earth science career at Chevron,"{ Pros. The company cares about its employees } { Cons. No longer many paths for overseas assignments. Also, more work with less people going forward leads to overwork and overstressed employees. I’m not sure what the future of the earth scientist looks like in our new green energy future }",0.53
Chevron,{ Pros. Relaxed work culture with generally good pay. Many consider it to be a get rich slowly job. } { Cons. Limited supervisory opportunities and only small incentives for exceptional performance. Most people move up at a relatively consistent pace regardless of average or exceptional performance. },0.91
"Great company, great people, solid career opportunities.",{ Pros. Career ladder with lots of jobs to move into and progress. } { Cons. Corporations are slow at change },0.42
Great Place to Work,{ Pros. Good pay and benefits. Pretty happy with them. } { Cons. Very corporate and somewhat frustrating },0.86
Good first job,{ Pros. Fun place but after a while gets tiring } { Cons. Depends on what location you are at },0.28
good place to work,{ Pros. good life and work balance } { Cons. not a fast growing industry },0.34
Great place to work and great benefits but constant re-orgs and corporate processes are stifling,{ Pros. Very interesting work and lot of freedom. Great benefits. Chevron really cares about its people. Great people to work with. } { Cons. Company moves very slowly and very process driven. There seem to be constant efforts to reorganize or change existing processes. Some detachment between upper level management and folks lower down; we are told our input matters but its hard to see. Slow to adapt to the new realities of the energy industry. },0.9
Good work environment.,{ Pros. Good work-life and balance and company values you as a person. } { Cons. There are no cons for this company. },0.53
Review of Chevron's work environment,{ Pros. Great compensation Great people to work with and for Well defined procedures for work and performance evaluations Opportunity to work in multiple locations around the world } { Cons. Could improve on the incorporation of performance evaluation feedback },0.94
Great,"{ Pros. Awsome pay, great training, vacation } { Cons. Just a number in the company }",0.61
"Challenging technical work, great benefits","{ Pros. Always lots of interesting projects, better benefits than most energy companies, strong team environment, best for work/life balance } { Cons. Career advancement is too leveraged to politics and having the right sr management sponsorship. Performance rewards are narrowly focused on the top 10 - 15%. }",0.97
"Once great, but it’s best days are in the past","{ Pros. Above-average benefits, friendly culture, good job security, well-structured job placement system } { Cons. Industry decline has slowed promotion opportunities. Not competitive with faster growing industries like tech.1 person found this review helpfulHelpfulShareRepor }",0.94
Great Company,"{ Pros. Great people, work life balance } { Cons. Not really any cons I can think of }",0.62
Love my job. Do not like management.,{ Pros. Great pay and benefits. Ample opportunities for upward movement in company. } { Cons. Review process (PMP) is dreadful. No home/work balance (skewed far towards work) and uncompensated for overtime. Communication between departments is weak. },0.23
My Experience,{ Pros. great company for benefits and some work experiences. focused on safety } { Cons. only cons i have was a few of the people i worked with so try not to let that judge the whole },0.9
Infrastructure Analyst,{ Pros. 9/80 Benefits Bonus Some close excellent peers Technical Work } { Cons. Limited opportunities to move Slow growth in career after a few years No remote work or WFH options CPDEP },0.9
Manager,{ Pros. Stronger energy company for the future. } { Cons. Focusing on hydrocarbons for the future. },0.57
Amazing Place to work,{ Pros. salary is the best part and paid leaves. Houston building is one of the best places that you can be employed. it is in the heart of downtown Houston and many restaurants available and around. } { Cons. job positions are very competitive and unsecured. to be hired usually you need to have known connection in the company which is usually pretty common in other oil and gas companies },0.94
"Great people, highest integrity","{ Pros. smart, but humble people. Generous HR policies } { Cons. Constantly having 10-15% personnel layoffs }",0.74
Cashier Clerk,{ Pros. It gives you good esperience. } { Cons. No benifets and no health insurance },-0.13
It’s aight,{ Pros. My manager is super cool and understanding } { Cons. Pumping gas sucks. Occasional mad customer },0.2
Good Job,{ Pros. Good part time job with flexible hours. Close to my home and school so it was a short commute. Understanding manager and coworkers. } { Cons. Sometimes can get very busy during rush hours. Many responsibilities to learn but it becomes easy with experience. No other cons. },0.53
Great place to work!,{ Pros. Compensation is strong for mid-year professionals } { Cons. Leadership Lack of flexibility to work from home },0.53
Review,{ Pros. large company benefits including 401K } { Cons. external effects of market factors },0.38
Great place for a career,{ Pros. Great environment with a good culture. Offers a lot of opportunity for international projects and assignments } { Cons. Career growth can be slow },0.91
Great benefits,"{ Pros. Compensation, Paid Bonding Time, Pension, Growth } { Cons. They are consistently divesting assets which lead to job security concerns }",0.69
…….,{ Pros. This is a great company } { Cons. Can be very political at times },0.62
Former Cashier at Chevron Gas station,{ Pros. The job had OK pay } { Cons. You are not paid enough for the things and situations you have to endure },0.37
